"Player","Rank","ADP","Diff","Finish2024","Team","Pos","PosRank","Notes","Id"
"Kyle Pitts","138","139.6","0.02","152","ATL","TE","16","Trade Candidate","baf94a12-0921-4655-9b10-12b59b77c57c"
"Luther Burden","139","117.1","-0.18","","CHI","WR","59","Rookie","9df8f9e8-d362-46e0-be35-502442b747e6"
"Darius Slayton","140","196.9","0.29","167","NYG","WR","60","","bdecac5a-bd13-4a2c-94c8-4ff12c29d50a"
"Cedric Tillman","141","151.7","0.08","93","CLE","WR","61","","be28ffd2-9c10-44fd-937a-0dd5fa9f22c9"
"Bryce Young","142","148.7","0.05","117","CAR","QB","20","","04c979d6-83b7-40dc-83fc-ed4db79ce5f9"
"J.J. McCarthy","143","123.3","-0.15","","MIN","QB","21","","78a6939e-5faf-45ed-98f2-674a84e65045"
"Bhayshul Tuten","144","136.1","-0.05","","JAX","RB","47","Rookie","ae822ce4-b4ff-4b53-bf83-be036fe15dd2"
"Tank Bigsby","145","127.6","-0.13","95","JAX","RB","48","","91edd6d6-bd65-4571-8713-41fc3cd2eb92"
"Rico Dowdle","146","177.1","0.18","65","CAR","RB","49","","a07ec2e7-a9ff-4797-8b81-e97de03a6a51"
"Tyjae Spears","147","138.4","-0.05","101","TEN","RB","50","","76809c5a-f06d-479a-a218-f22ee3e13a83"
"Trey Benson","148","138.7","-0.06","248","ARI","RB","51","","9ee85b14-7fae-4772-b58f-fa2922f230ef"
"Dylan Sampson","149","142.4","-0.05","","CLE","RB","52","Rookie","032a165a-b343-4c8f-a56f-8fc47d2a4a07"
"Brian Robinson Jr.","150","85.9","-0.37","72","WAS","RB","46","","d163492c-f926-4cb9-96fc-b93759e92541"
"Romeo Doubs","151","150.2","-0.01","137","GB","WR","62","","c27b2fd7-45a7-409c-9973-3346fd3062fc"
"Hollywood Brown","152","146.1","-0.04","","KC","WR","63","","27c2ab08-d88c-427a-b0d3-cf0ba47af2f7"
"Joshua Palmer","153","139.5","-0.1","244","BUF","WR","64","","6dc7832f-45d2-4ae6-8c6a-3595e185a18e"
"Tua Tagovailoa","154","155.2","0.01","111","MIA","QB","22","","bfd060c8-dfa0-43d4-beb2-6f3e5b9df69e"
"Michael Penix","155","142.2","-0.09","","ATL","QB","23","","a6b061d0-7d58-45b0-8539-c0dd60cb26f9"
"Geno Smith","156","161.4","0.03","168","LV","QB","24","","2f6b0b7d-b3fe-46e5-b7ef-c84495f0e78a"
"Chig Okonkwo","157","172.2","0.09","221","TEN","TE","17","","2a65964a-1345-435e-998e-ee29adf6d251"
"Cameron Ward","158","151.4","-0.04","","TEN","QB","25","Rookie","ff6b158c-6ff5-45c7-879e-32086288c5fb"
"Sam Darnold","159","178.9","0.11","109","SEA","QB","26","","afb9a9f4-bacd-46f5-ad31-80b2427eae28"
"Xavier Legette","160","158.8","-0.01","179","CAR","WR","65","","a18e7872-b3df-4c74-8130-feb720a928c1"
"Kyle Williams","161","144.2","-0.12","","NE","WR","66","Rookie","d1bb13ec-b37e-420c-b9f5-e76698cb6b2b"
"Demario Douglas","162","146.9","-0.1","170","NE","WR","67","","63cbde87-5fd3-410c-9c64-2185510182ef"
"Rachaad White","163","157.2","-0.04","58","TB","RB","53","","9012f171-568e-4292-94ba-f4b308eac941"
