"Player","Team","Pos","Rank","ADP","2023 Finish","2022 Finish","Id","Diff"
"Brandon Aiyuk","49ers","WR","20","25.8","28","82","c3032705-9198-4d1b-ba45-3d5eb7983645","0.22"
"Deebo Samuel","49ers","WR","21","16","10","56","bc1959be-6b30-4eca-be97-0f2e5b97eb9a","-0.31"
"Davante Adams","Raiders","WR","22","21.7","33","7","6591b1cf-50ee-4c6d-964c-2b26ad46bfde","-0.01"
"Malik Nabers","Giants","WR","23","25.3","","","12dc1620-9e6e-4ea6-81db-325a12cf154c","0.09"
"Josh Jacobs","Packers","RB","24","50.9","40","5","993baded-bd48-4787-b0ad-ac2996be73a4","0.53"
"Drake London","Falcons","WR","25","15.2","98","114","56c751bc-45b5-4984-b916-8a9b1cbc056e","-0.64"
"Marvin Harrison","Cardinals","WR","26","13.7","","","ffadf9c7-84c5-4cbd-882c-08ac77e4ceff","-0.9"
"Jalen Hurts","Eagles","QB","27","40.7","38","11","5e0c0398-4cff-4185-9805-3d5b56cb929b","0.34"
"Isiah Pacheco","Chiefs","RB","28","36.9","29","116","951c3ab5-1b70-43de-a537-16376027a240","0.24"
"Chris Olave","Saints","WR","29","19.6","58","76","333093b5-7ef3-49ae-a736-93217e79f666","-0.48"
"Mike Evans","Bucs","WR","30","25.7","12","42","8da0dbe1-4d06-45f3-830a-2112443c2466","-0.17"
"Derrick Henry","Ravens","RB","31","29.3","23","4","2e8f2806-a076-496d-b610-30c5a9db0098","-0.06"
"Travis Etienne Jr.","Jaguars","RB","32","41.8","11","48","a9ad9af2-611c-4c9b-9e07-687f619a55ce","0.23"
"Patrick Mahomes","Chiefs","QB","33","44","130","16","1028d0c1-94d4-463f-9a3d-3c0bebb060db","0.25"
"DK Metcalf","Seahawks","WR","34","28.6","41","38","2704e8d7-a534-4bef-9e3d-6d12ff738205","-0.19"
"Amari Cooper","Browns","WR","35","40.5","27","33","2426f790-2c33-4a1d-9074-0a2975affc5d","0.14"
"DeVonta Smith","Eagles","WR","36","26.5","48","36","c0c23fc3-862e-481f-824b-04ee87c01392","-0.36"
"Sam LaPorta","Lions","TE","37","36.7","47","","686108bb-239b-4273-a28a-69b9571cc03d","-0.01"
"Lamar Jackson","Ravens","QB","38","47.7","43","45","f258ff18-d5fd-4dce-af9a-958900eecf52","0.2"
"Josh Allen","Bills","QB","39","37","25","14","66b13037-5e4c-4b36-a7e7-398cbace2e58","-0.05"
"Travis Kelce","Chiefs","TE","40","39.1","56","13","18a2678b-805b-4ec2-8489-0e677735311b","-0.02"
"Tee Higgins","Bengals","WR","41","43.1","62","37","d27b174c-ed7e-4138-a2c7-ab3fcd3575b3","0.05"
"Tank Dell","Texans","WR","42","34.2","22","","2df22d1e-e053-42dd-9c5e-480d1196ff25","-0.23"
"DJ Moore","Bears","WR","43","30.5","16","57","f68af97f-836c-472d-8ad2-8b87a19ec178","-0.41"
"George Pickens","Steelers","WR","44","43.4","57","108","0c410b1a-19f9-415f-ae96-11dc81d258dc","-0.01"
"Trey McBride","Cardinals","TE","45","46","111","212","eb7bc4df-1285-4d03-94d4-bf9ab58eea87","0.02"
"Xavier Worthy","Chiefs","WR","46","63","","","f1af93fd-af0e-4380-8ae4-519f04a8673c","0.27"
"Rashee Rice","Chiefs","WR","47","51.9","80","","d763e0dc-b773-483d-be2a-a49c5ee0046d","0.09"
"Stefon Diggs","Texans","WR","48","33.7","32","12","aeec05d9-8fa4-4b9a-a85d-4611dbb12d5f","-0.42"
"Rachaad White","Bucs","RB","49","62.7","24","143","140a874a-e16b-4b51-9640-01797a14e4a1","0.22"
"Joe Mixon","Texans","RB","50","62.2","35","21","012a73f3-7fe2-427d-89d5-2ddc0fb366e6","0.2"
"C.J. Stroud","Texans","QB","51","70.6","90","","d1f113bc-e984-499b-a386-2c38ef7a25d0","0.28"
"Mark Andrews","Ravens","TE","52","48.9","61","64","b73379fb-c0bf-4624-bb87-5b9daf7ae1ed","-0.06"
"Dalton Kincaid","Bills","TE","53","51.7","149","","5fd1a37f-4c31-4cc1-82b5-ce980d353aaa","-0.03"
"Terry McLaurin","Commanders","WR","54","50.9","88","65","84b4c137-2193-4e4b-b3de-a74f2eed2ad3","-0.06"
"Zay Flowers","Ravens","WR","55","38.1","74","","0f1d4122-0410-4a08-8ec5-564ad56b8d8c","-0.44"
"Michael Pittman Jr.","Colts","WR","56","34.8","42","75","0c4fb388-7ebc-4e40-947f-90ba2e7f60a3","-0.61"
"Anthony Richardson","Colts","QB","57","57","77","","e5c2cbd7-65b7-41a9-b81d-a6e1313571fd","0"
"James Cook","Bills","RB","58","55","37","195","d7025fba-a9fc-4295-8a27-b194556a90f9","-0.05"
"Brian Thomas","Jaguars","WR","59","77.8","","","e596066b-2a14-4ac2-9b2c-84422febdf32","0.24"
"Kyle Pitts","Falcons","TE","60","60.4","165","186","4ffdccda-f8a4-4ec4-90a6-0ddf19626a93","0.01"
"Christian Kirk","Jaguars","WR","61","48","86","34","3641f3d1-3ff6-4d44-91db-47834e41227b","-0.27"
"David Montgomery","Lions","RB","62","73.1","19","69","1bbd25be-df0b-43c5-a027-2ff0bc886805","0.15"
"Diontae Johnson","Panthers","WR","63","67.8","101","210","b7b1f316-40a7-4784-a8d1-f972b0dd394f","0.07"
"Hollywood Brown","Chiefs","WR","64","61.3","118","78","905c091a-69b0-4c46-9f4a-0887d6485aaf","-0.04"
"Rome Odunze","Bears","WR","65","67.6","","","144f1a02-d422-4d10-ba5e-349a5daae34b","0.04"
"Calvin Ridley","Titans","WR","66","57.6","54","","cc6cf04a-9ebb-4f4d-9d39-cc637b2da612","-0.15"
"Kenneth Walker III","Seahawks","RB","67","65.8","36","27","03fcdf1b-3181-4dc9-9891-5f8db430037f","-0.02"
"Najee Harris","Steelers","RB","68","84.4","83","53","fa6d275b-9843-4a2a-a13f-17b2a6421118","0.19"
"James Conner","Cardinals","RB","69","78.3","30","25","94b09be0-23a5-46fd-9484-7aa994983d13","0.12"
"Raheem Mostert","Dolphins","RB","70","92.2","6","84","313f9102-552e-42bb-9de8-8cdd09f9f400","0.24"
"David Njoku","Browns","TE","71","99.2","82","117","3346891b-8250-442e-be54-4ffc467140f0","0.28"
"George Kittle","49ers","TE","72","63.7","49","51","0d22526b-00d4-4f61-9c71-7540cd373543","-0.13"
"Chris Godwin","Bucs","WR","73","61.3","110","66","19f1f476-acd6-4dbd-ac1c-7c4a920bf479","-0.19"
"Jaxon Smith-Njigba","Seahawks","WR","74","75.1","166","","71aa400e-7eab-465e-bf0a-1c1f7f407306","0.01"
