manager,rank,player,nfl_team,position,offer_amount,espn_suggested_value,value_diff
Dane,5,A.J. Brown,Phi,WR,39,37,2
Dane,22,DJ Moore,Chi,WR,13,10,3
Dane,24,Patrick Mahomes,KC,QB,33,30,3
Dane,32,Stefon Diggs,Buf,WR,51,46,5
Dane,39,Alvin Kamara,NO,RB,12,14,-2
Dane,45,Amari Cooper,Cle,WR,21,19,2
Dane,49,Isiah Pacheco,KC,RB,16,5,11
Dane,64,George Kittle,SF,TE,6,6,0
Dane,92,Jaxon Smith-Njigba,Sea,WR,1,4,-3
Dane,112,49ers D/ST,SF,D/ST,1,1,0
Dane,122,Younghoe Koo,Atl,K,1,1,0
Dane,132,Cole Kmet,Chi,TE,1,3,-2
Dane,141,Tyler Boyd,Cin,WR,1,1,0
Dane,148,Jameson Williams,Det,WR,1,0,1
Dane,155,Damien Harris,Buf,RB,1,0,1
Dane,162,Geno Smith,Sea,QB,1,1,0
Dane,168,Kenneth Gainwell,Phi,RB,1,0,1
Nacku,15,Travis Kelce,KC,TE,55,57,-2
Nacku,28,Tee Higgins,Cin,WR,26,32,-6
Nacku,34,CeeDee Lamb,Dal,WR,46,41,5
Nacku,41,Jahmyr Gibbs,Det,RB,21,26,-5
Nacku,59,DeVonta Smith,Phi,WR,24,31,-7
Nacku,61,James Cook,Buf,RB,9,10,-1
Nacku,76,Trevor Lawrence,Jax,QB,2,5,-3
Nacku,83,David Montgomery,Det,RB,6,5,1
Nacku,108,JuJu Smith-Schuster,NE,WR,2,2,0
Nacku,113,Daniel Carlson,LV,K,1,1,0
Nacku,123,Allen Lazard,NYJ,WR,1,0,1
Nacku,131,Adam Thielen,Car,WR,2,1,1
Nacku,133,Ravens D/ST,Bal,D/ST,1,0,1
Nacku,142,K.J. Osborn,NE,WR,1,1,0
Nacku,149,Tyler Higbee,LAR,TE,1,2,-1
Nacku,156,Gus Edwards,LAC,RB,1,0,1
Nacku,163,Hunter Renfrow,LV,WR,1,0,1
Diego,26,DK Metcalf,Sea,WR,30,33,-3
Diego,29,Lamar Jackson,Bal,QB,21,21,0
Diego,31,Rhamondre Stevenson,NE,RB,18,24,-6
Diego,42,Joe Mixon,Hou,RB,31,35,-4
Diego,43,Dameon Pierce,Hou,RB,13,23,-10
Diego,46,Calvin Ridley,Ten,WR,28,22,6
Diego,55,Mike Williams,NYJ,WR,14,9,5
Diego,65,Drake London,Atl,WR,9,6,3
Diego,73,Cam Akers,Min,RB,6,8,-2
Diego,74,Christian Watson,GB,WR,13,19,-6
Diego,78,Dallas Goedert,Phi,TE,5,6,-1
Diego,82,Gabe Davis,Jax,WR,3,2,1
Diego,98,Jordan Addison,Min,WR,4,2,2
Diego,100,Justin Tucker,Bal,K,1,1,0
Diego,110,Steelers D/ST,Pit,D/ST,1,1,0
Diego,111,Brian Robinson Jr.,Wsh,RB,2,3,-1
Diego,130,Anthony Richardson,Ind,QB,1,1,0
Jordan,1,Tony Pollard,Ten,RB,47,44,3
Jordan,19,Garrett Wilson,NYJ,WR,45,40,5
Jordan,23,Josh Allen,Buf,QB,30,30,0
Jordan,35,Deebo Samuel,SF,WR,26,22,4
Jordan,50,T.J. Hockenson,Min,TE,10,13,-3
Jordan,52,George Pickens,Pit,WR,5,4,1
Jordan,58,Miles Sanders,Car,RB,12,13,-1
Jordan,69,DJ Chark Jr.,Car,WR,2,2,0
Jordan,84,Christian Kirk,Jax,WR,5,4,1
Jordan,86,Dalvin Cook,Bal,RB,6,4,2
Jordan,88,Jahan Dotson,Wsh,WR,5,4,1
Jordan,102,Jamaal Williams,NO,RB,2,2,0
Jordan,121,Tyler Allgeier,Atl,RB,1,1,0
Jordan,140,Quentin Johnston,LAC,WR,1,2,-1
Jordan,147,Dolphins D/ST,Mia,D/ST,1,1,0
Jordan,154,Jaylen Warren,Pit,RB,1,1,0
Jordan,161,Brett Maher,LAR,K,1,0,1
Shep,4,Ja'Marr Chase,Cin,WR,62,58,4
Shep,6,Cooper Kupp,LAR,WR,53,43,10
Shep,9,Evan Engram,Jax,TE,4,3,1
Shep,14,Derrick Henry,Bal,RB,49,48,1
Shep,57,Justin Herbert,LAC,QB,11,10,1
Shep,66,Mike Evans,TB,WR,7,9,-2
Shep,79,Jerick McKinnon,KC,RB,1,2,-1
Shep,81,Odell Beckham Jr.,FA,WR,2,2,0
Shep,99,Ezekiel Elliott,NE,RB,1,1,0
Shep,109,Rashaad Penny,Phi,RB,3,2,1
Shep,119,Eagles D/ST,Phi,D/ST,1,0,1
Shep,129,Graham Gano,NYG,K,1,1,0
Shep,139,Dak Prescott,Dal,QB,1,2,-1
Shep,146,Kirk Cousins,Atl,QB,1,2,-1
Shep,153,Daniel Jones,NYG,QB,1,2,-1
Shep,160,Dalton Kincaid,Buf,TE,1,1,0
Shep,167,Chigoziem Okonkwo,Ten,TE,1,1,0
Luca,7,Josh Jacobs,GB,RB,37,36,1
Luca,13,Jonathan Taylor,Ind,RB,29,8,21
Luca,25,Keenan Allen,Chi,WR,18,22,-4
Luca,33,Aaron Jones,Min,RB,19,25,-6
Luca,37,Jaylen Waddle,Mia,WR,35,34,1
Luca,44,Kenneth Walker III,Sea,RB,15,11,4
Luca,51,Mark Andrews,Bal,TE,17,21,-4
Luca,75,Tyler Lockett,Sea,WR,6,7,-1
Luca,80,Marquise Brown,KC,WR,5,7,-2
Luca,90,Deshaun Watson,Cle,QB,4,6,-2
Luca,91,Michael Pittman Jr.,Ind,WR,5,4,1
Luca,96,AJ Dillon,GB,RB,3,3,0
Luca,114,Treylon Burks,Ten,WR,2,2,0
Luca,117,Bills D/ST,Buf,D/ST,2,1,1
Luca,118,Aaron Rodgers,NYJ,QB,1,1,0
Luca,128,Evan McPherson,Cin,K,1,1,0
Luca,138,Raheem Mostert,Mia,RB,1,2,-1
Sammy,2,Justin Jefferson,Min,WR,63,59,4
Sammy,3,Saquon Barkley,Phi,RB,45,49,-4
Sammy,21,Bijan Robinson,Atl,RB,54,51,3
Sammy,67,Kyle Pitts,Atl,TE,4,6,-2
Sammy,68,J.K. Dobbins,Bal,RB,5,5,0
Sammy,85,Justin Fields,Pit,QB,12,10,2
Sammy,94,Brandin Cooks,Dal,WR,1,4,-3
Sammy,101,Zay Flowers,Bal,WR,5,2,3
Sammy,104,Skky Moore,KC,WR,3,4,-1
Sammy,124,Darnell Mooney,Atl,WR,1,2,-1
Sammy,134,Samaje Perine,Den,RB,1,2,-1
Sammy,143,Elijah Moore,Cle,WR,1,2,-1
Sammy,150,Zach Ertz,Wsh,TE,1,0,1
Sammy,157,Tank Bigsby,Jax,RB,1,0,1
Sammy,164,Roschon Johnson,Chi,RB,1,0,1
Sammy,169,Patriots D/ST,NE,D/ST,1,1,0
Sammy,170,Jason Myers,Sea,K,1,1,0
Logan,12,Darren Waller,NYG,TE,8,7,1
Logan,18,Amon-Ra St. Brown,Det,WR,39,38,1
Logan,20,Tyreek Hill,Mia,WR,54,55,-1
Logan,40,Najee Harris,Pit,RB,23,26,-3
Logan,47,Breece Hall,NYJ,RB,16,15,1
Logan,54,Jerry Jeudy,Cle,WR,5,7,-2
Logan,56,Diontae Johnson,Car,WR,11,17,-6
Logan,70,Javonte Williams,Den,RB,5,8,-3
Logan,71,Alexander Mattison,LV,RB,12,11,1
Logan,72,D'Andre Swift,Chi,RB,9,3,6
Logan,77,Brandon Aiyuk,SF,WR,6,6,0
Logan,93,Courtland Sutton,Den,WR,4,4,0
Logan,106,Tua Tagovailoa,Mia,QB,1,2,-1
Logan,116,Elijah Mitchell,SF,RB,1,1,0
Logan,120,Zach Charbonnet,Sea,RB,2,1,1
Logan,126,Tyler Bass,Buf,K,1,1,0
Logan,136,Jets D/ST,NYJ,D/ST,3,1,2
Mike,8,Austin Ekeler,Wsh,RB,57,58,-1
Mike,10,Christian McCaffrey,SF,RB,65,57,8
Mike,30,Jalen Hurts,Phi,QB,29,29,0
Mike,48,Terry McLaurin,Wsh,WR,11,9,2
Mike,53,DeAndre Hopkins,Ten,WR,13,18,-5
Mike,62,David Njoku,Cle,TE,4,3,1
Mike,63,James Conner,Ari,RB,9,12,-3
Mike,89,Michael Thomas,NO,WR,3,2,1
Mike,95,Antonio Gibson,NE,RB,1,3,-2
Mike,105,Jakobi Meyers,LV,WR,1,2,-1
Mike,115,Cowboys D/ST,Dal,D/ST,1,1,0
Mike,125,Jeff Wilson Jr.,Mia,RB,1,0,1
Mike,135,Jake Elliott,Phi,K,1,1,0
Mike,144,Michael Gallup,Dal,WR,1,1,0
Mike,151,Deuce Vaughn,Dal,RB,1,0,1
Mike,158,Jared Goff,Det,QB,1,0,1
Mike,165,Marquez Valdes-Scantling,KC,WR,1,0,1
Adrian,11,Chris Olave,NO,WR,36,32,4
Adrian,16,Davante Adams,LV,WR,44,53,-9
Adrian,17,Travis Etienne Jr.,Jax,RB,22,28,-6
Adrian,27,Nick Chubb,Cle,RB,47,42,5
Adrian,36,Joe Burrow,Cin,QB,16,20,-4
Adrian,38,Chris Godwin,TB,WR,12,17,-5
Adrian,60,Rachaad White,TB,RB,10,15,-5
Adrian,87,Pat Freiermuth,Pit,TE,1,3,-2
Adrian,97,Harrison Butker,KC,K,1,1,0
Adrian,103,Khalil Herbert,Chi,RB,4,3,1
Adrian,107,Rondale Moore,Atl,WR,1,2,-1
Adrian,127,Saints D/ST,NO,D/ST,1,1,0
Adrian,137,Dalton Schultz,Hou,TE,1,2,-1
Adrian,145,Nico Collins,Hou,WR,1,2,-1
Adrian,152,Devin Singletary,NYG,RB,1,1,0
Adrian,159,Kadarius Toney,KC,WR,1,1,0
Adrian,166,Parris Campbell,Phi,WR,1,1,0
