Pos,PPR,Rank,Player,Team,ESPN Value,UD Value,PriceRank
QB,99,89,Jordan Love,Packers,$3,$3,93
WR,100,96,Keon Coleman,Bills,$2,$2,116
RB,101,107,Blake Corum,Rams,$1,$2,143
TE,102,80,Jake Ferguson,Cowboys,$2,$4,115
WR,103,98,Jameson Williams,Lions,$1,$2,142
WR,104,46,Xavier Worthy,Chiefs,$3,$15,86
RB,105,129,Trey Benson,Cardinals,$1,$1,158
RB,106,169,Nick Chubb,Browns,$2,$0,98
RB,107,131,Zach Charbonnet,Seahawks,$1,$1,139
RB,108,112,Jerome Ford,Browns,$2,$2,105
WR,109,128,Tyler Lockett,Seahawks,$2,$1,97
RB,110,130,Gus Edwards,Chargers,$2,$1,106
RB,111,110,Chase Brown,Bengals,$2,$2,101
WR,112,114,Mike Williams,Jets,$2,$2,104
WR,113,59,Brian Thomas,Jaguars,$2,$9,119
QB,114,106,Jayden Daniels,Commanders,$2,$2,113
RB,115,171,J.K. Dobbins,Chargers,$2,$0,99
WR,116,117,Jerry Jeudy,Browns,$1,$2,148
WR,117,115,Rashid Shaheed,Saints,$1,$2,146
RB,118,274,Kendre Miller,Saints,$1,$0,120
TE,119,104,Brock Bowers,Raiders,$2,$2,111
WR,120,97,Curtis Samuel,Bills,$1,$2,154
TE,121,155,T.J. Hockenson,Vikings,$2,$1,108
RB,122,132,Tyler Allgeier,Falcons,$1,$1,157
RB,123,186,MarShawn Lloyd,Packers,$1,$0,136
WR,124,141,Darnell Mooney,Falcons,$1,$1,138
WR,125,127,Jakobi Meyers,Raiders,$2,$1,95
RB,126,140,Ty Chandler,Vikings,$1,$1,121
WR,127,201,Demario Douglas,Patriots,$1,$0,133
RB,128,184,Antonio Gibson,Patriots,$1,$0,134
WR,129,120,Khalil Shakir,Bills,$1,$1,151
WR,131,143,Xavier Legette,Panthers,$1,$1,125
QB,132,90,Caleb Williams,Bears,$1,$3,159
WR,135,126,Adonai Mitchell,Colts,$1,$1,155
QB,136,156,Aaron Rodgers,Jets,$2,$1,96
RB,138,167,Jaleel McLaughlin,Broncos,$1,$0,131
TE,139,105,Dallas Goedert,Eagles,$2,$2,118
QB,140,121,Brock Purdy,49ers,$3,$1,90
RB,141,93,Rico Dowdle,Cowboys,$1,$3,152
RB,145,185,Jaylen Wright,Dolphins,$1,$0,135
WR,146,113,Romeo Doubs,Packers,$1,$2,144
WR,151,116,Brandin Cooks,Cowboys,$1,$2,147
WR,152,230,Marvin Mims,Broncos,$1,$0,127
WR,153,118,Gabe Davis,Jaguars,$1,$2,149
WR,155,159,Adam Thielen,Panthers,$1,$1,129
RB,157,170,Tyrone Tracy,Giants,$0,$0,211
RB,158,200,Elijah Mitchell,49ers,$1,$0,126
WR,159,119,Dontayvion Wicks,Packers,$1,$2,150
QB,162,177,Kirk Cousins,Falcons,$2,$0,103
TE,164,125,Pat Freiermuth,Steelers,$1,$1,141
WR,165,202,Jahan Dotson,Commanders,$0,$0,258
WR,170,256,Kendrick Bourne,Patriots,$1,$0,128
TE,172,144,Dalton Schultz,Texans,$1,$1,124
RB,173,133,Chuba Hubbard,Panthers,$2,$1,107
WR,176,173,Jalen Tolbert,Cowboys,$0,$0,232
WR,177,152,Josh Downs,Colts,$0,$1,225
RB,178,149,Ray Davis,Bills,$1,$1,122
WR,181,160,Ja'Lynn Polk,Patriots,$1,$0,130
RB,182,210,Alexander Mattison,Raiders,$1,$0,132
QB,183,136,Deshaun Watson,Browns,$1,$1,156
TE,184,196,Cole Kmet,Bears,$1,$0,137
WR,186,190,Ricky Pearsall,49ers,$0,$0,249
WR,187,95,Joshua Palmer,Chargers,$1,$2,145
QB,188,123,Trevor Lawrence,Jaguars,$1,$1,153
QB,189,138,Justin Herbert,Chargers,$2,$1,102
TE,190,148,Noah Fant,Seahawks,$0,$1,227
RB,191,163,Kimani Vidal,Chargers,$0,$0,217
TE,195,161,Ben Sinnott,Commanders,$0,$0,219
RB,199,277,Miles Sanders,Panthers,$1,$0,140
RB,200,150,Khalil Herbert,Bears,$1,$1,123
QB,201,124,Tua Tagovailoa,Dolphins,$0,$1,209
QB,202,137,Jared Goff,Lions,$0,$1,231
TE,203,147,Tyler Conklin,Jets,$0,$1,228
TE,206,146,Hunter Henry,Patriots,$0,$1,229
TE,207,157,Juwan Johnson,Saints,$0,$1,222
WR,208,259,Quentin Johnston,Chargers,$0,$0,185
RB,209,182,Clyde Edwards-Helaire,Chiefs,$0,$0,254
RB,210,172,Braelon Allen,Jets,$0,$0,210
QB,211,122,Matthew Stafford,Rams,$0,$1,213
QB,212,197,Bryce Young,Panthers,$0,$0,243
QB,213,178,Daniel Jones,Giants,$0,$0,247
QB,214,179,Baker Mayfield,Bucs,$0,$0,257
WR,215,153,Demarcus Robinson,Rams,$0,$1,224
WR,216,189,Wan'Dale Robinson,Giants,$0,$0,250
WR,217,239,Tyler Boyd,Titans,$0,$0,203
WR,218,219,Darius Slayton,Giants,$0,$0,179
WR,219,209,Jalin Hyatt,Giants,$0,$0,234
TE,220,224,Tucker Kraft,Packers,$0,$0,173
TE,221,145,Luke Musgrave,Packers,$0,$1,230
WR,222,206,Jermaine Burton,Bengals,$0,$0,238
WR,223,241,DJ Chark,Chargers,$0,$0,202
WR,224,264,Zay Jones,Cardinals,$0,$0,196
RB,225,238,Jamaal Williams,Saints,$0,$0,204
RB,226,168,Tank Bigsby,Jaguars,$0,$0,212
TE,227,215,Cade Otton,Bucs,$0,$0,177
TE,228,251,Hayden Hurst,Chargers,$0,$0,193
QB,229,139,Geno Smith,Seahawks,$0,$1,207
QB,230,188,Will Levis,Titans,$0,$0,251
QB,231,198,Russell Wilson,Steelers,$0,$0,242
RB,232,236,Kenneth Gainwell,Eagles,$0,$0,184
RB,233,216,Roschon Johnson,Bears,$0,$0,160
WR,234,158,Rashod Bateman,Ravens,$0,$1,220
RB,235,235,Justice Hill,Ravens,$0,$0,182
RB,236,165,Bucky Irving,Bucs,$0,$0,215
WR,237,154,Michael Wilson,Cardinals,$0,$1,223
WR,238,176,Luke McCaffrey,Commanders,$0,$0,233
WR,240,174,Jalen McMillan,Bucs,$0,$0,221
WR,241,207,Odell Beckham,Dolphins,$0,$0,237
WR,242,263,Trey Palmer,Bucs,$0,$0,188
WR,243,243,Malachi Corley,Jets,$0,$0,206
RB,244,275,D'Onta Foreman,Browns,$0,$0,178
RB,245,187,Dameon Pierce,Texans,$0,$0,252
RB,247,166,Audric Estime,Broncos,$0,$0,214
RB,254,212,Trey Sermon,Colts,$0,$0,200
WR,257,191,Kalif Raymond,Lions,$0,$0,248
TE,263,194,Jonnu Smith,Dolphins,$0,$0,245
TE,264,218,Dawson Knox,Bills,$0,$0,180
WR,266,205,Van Jefferson,Steelers,$0,$0,239
WR,267,262,Elijah Moore,Browns,$0,$0,187
WR,268,227,Roman Wilson,Steelers,$0,$0,169
WR,269,193,Tim Patrick,Broncos,$0,$0,235
QB,272,180,Bo Nix,Broncos,$0,$0,256
QB,273,214,Derek Carr,Saints,$0,$0,172
QB,275,181,Drake Maye,Patriots,$0,$0,255
WR,276,220,Tre Tucker,Raiders,$0,$0,176
WR,277,208,Cedric Tillman,Browns,$0,$0,236
WR,278,192,Josh Reynolds,Broncos,$0,$0,246
RB,286,211,Will Shipley,Eagles,$0,$0,208
RB,287,164,Jordan Mason,49ers,$0,$0,216
WR,288,142,Andrei Iosivas,Bengals,$0,$1,241
TE,293,252,Daniel Bellinger,Giants,$0,$0,192
TE,294,162,Colby Parkinson,Rams,$0,$0,218
TE,295,247,Greg Dulcich,Broncos,$0,$0,197
TE,296,253,Zach Ertz,Commanders,$0,$0,191
WR,297,267,Troy Franklin,Broncos,$0,$0,174
WR,298,270,Tutu Atwell,Rams,$0,$0,162
QB,299,222,Gardner Minshew,Raiders,$0,$0,175
QB,304,234,Aidan O'Connell,Raiders,$0,$0,163
QB,305,135,Sam Darnold,Vikings,$0,$1,226
RB,310,237,Samaje Perine,Broncos,$0,$0,205
QB,313,245,Jacoby Brissett,Patriots,$0,$0,199
TE,314,195,Isaiah Likely,Ravens,$0,$0,244
TE,315,226,Michael Mayer,Raiders,$0,$0,170
TE,316,246,Mike Gesicki,Bengals,$0,$0,198
QB,318,213,Justin Fields,Steelers,$0,$0,167
QB,319,233,Michael Penix,Falcons,$0,$0,164
RB,323,183,AJ Dillon,Packers,$0,$0,253
TE,328,217,Will Dissly,Chargers,$0,$0,161
TE,330,248,Tommy Tremble,Panthers,$0,$0,195
TE,332,225,Theo Johnson,Giants,$0,$0,171
TE,336,249,Gerald Everett,Bears,$0,$0,194
WR,369,242,Xavier Gipson,Jets,$0,$0,201
WR,370,271,Devontez Walker,Ravens,$0,$0,166
WR,371,260,Noah Brown,Texans,$0,$0,183
WR,372,257,Jauan Jennings,49ers,$0,$0,186
WR,375,229,Treylon Burks,Titans,$0,$0,168
WR,377,204,Greg Dortch,Cardinals,$0,$0,240
WR,378,269,Calvin AustinI,Steelers,$0,$0,181
TE,380,254,Ja'Tavion Sanders,Panthers,$0,$0,190
WR,387,232,K.J. Osborn,Patriots,$0,$0,165
WR,391,255,Cedrick Wilson,Saints,$0,$0,189
