Player,Team,Position,Yahoo Rank,Adjusted Rank,Diff
Khalil Shakir,BUF,WR,144,137,7
Jalen McMillan,TB,WR,145,161,-16
Tyjae Spears,TEN,RB,146,195,-49
Jalen Nailor,LV,WR,148,160,-12
Jonah Coleman,DEN,RB,149,212,-63
Daniel Jones,IND,QB,150,180,-30
Isiah Pacheco,DET,RB,151,173,-22
Brian Robinson,ATL,RB,152,,
Adonai Mitchell,NYJ,WR,153,197,-44
Sam Darnold,SEA,QB,154,170,-16
Juwan Johnson,NO,TE,155,174,-19
Brenton Strange,JAX,TE,157,186,-29
Travis Hunter,JAX,WR,158,139,19
C.J. Stroud,HOU,QB,160,168,-8
Cam Ward,TEN,QB,162,208,-46
Denzel Boston,CLE,WR,163,125,38
Hunter Henry,NE,TE,164,184,-20
Brandon Aubrey,DAL,K,165,113,52
Dylan Sampson,CLE,RB,166,194,-28
Oronde Gadsden,LAC,TE,167,,
Ray Davis,BUF,RB,168,187,-19
Jaydon Blue,DAL,RB,169,188,-19
Bryce Young,CAR,QB,170,179,-9
Ryan Flournoy,DAL,WR,171,182,-11
MarShawn Lloyd,GB,RB,172,158,14
Omar Cooper Jr.,NYJ,WR,176,198,-22
Ka'imi Fairbairn,HOU,K,177,144,33
Tre Tucker,LV,WR,178,216,-38
Greg Dulcich,MIA,TE,179,220,-41
Cameron Dicker,LAC,K,180,143,37
Kenyon Sadiq,NYJ,TE,181,260,-79
AJ Barner,SEA,TE,183,185,-2
Cam Little,JAX,K,184,142,42
Emmett Johnson,KC,RB,186,265,-79
Kaytron Allen,WSH,RB,187,231,-44
Isaac TeSlaa,DET,WR,188,230,-42
Mike Washington Jr.,LV,RB,189,211,-22
Jason Myers,SEA,K,190,155,35
Tre' Harris,LAC,WR,191,183,8
Dontayvion Wicks,PHI,WR,192,181,11
Nicholas Singleton,TEN,RB,194,279,-85
T.J. Hockenson,MIN,TE,195,219,-24
Jerry Jeudy,CLE,WR,197,199,-2
Braelon Allen,NYJ,RB,198,232,-34
Jauan Jennings,MIN,WR,199,202,-3
Jake Bates,DET,K,200,148,52
Evan McPherson,CIN,K,201,149,52
Tyler Loop,BAL,K,202,165,37
Terrance Ferguson,LAR,TE,203,223,-20
Ollie Gordon II,MIA,RB,204,281,-77
Demond Claiborne,MIN,RB,206,287,-81
Dalton Schultz,HOU,TE,207,221,-14
Isaiah Davis,NYJ,RB,209,289,-80
Eddy Pineiro,SF,K,210,166,44
Cairo Santos,CHI,K,211,164,47
Jaylin Noel,HOU,WR,212,275,-63
George Holani,SEA,RB,213,276,-63
James Conner,ARI,RB,214,247,-33
Antonio Williams,WSH,WR,215,268,-53
Jacoby Brissett,ARI,QB,216,244,-28
Harrison Mevis,LAR,K,217,167,50
Kaelon Black,SF,RB,218,213,5
Malik Washington,MIA,WR,219,196,23
Gunnar Helm,TEN,TE,220,242,-22
Calvin Ridley,TEN,WR,221,218,3
Sean Tucker,TB,RB,222,193,29
Andy Borregales,NE,K,223,178,45
Fernando Mendoza,LV,QB,224,210,14
Zachariah Branch,ATL,WR,226,248,-22
Kimani Vidal,LAC,RB,227,253,-26
Jack Bech,LV,WR,228,251,-23
Chase McLaughlin,TB,K,230,190,40
Darnell Mooney,NYG,WR,232,274,-42
Jordan James,SF,RB,233,254,-21
DJ Giddens,IND,RB,234,273,-39
Adam Randall,BAL,RB,235,,
Emari Demercado,KC,RB,236,266,-30
Kayshon Boutte,NE,WR,237,228,9
Chris Boswell,PIT,K,238,203,35
Justice Hill,BAL,RB,239,243,-4
Tahj Brooks,CIN,RB,240,,
Geno Smith,NYJ,QB,241,209,32
Tua Tagovailoa,ATL,QB,242,245,-3
Will Reichard,MIN,K,243,233,10
Kirk Cousins,LV,QB,244,255,-11
Harrison Butker,KC,K,245,204,41
Rashod Bateman,BAL,WR,246,201,45
Pat Bryant,DEN,WR,248,215,33
Jahan Dotson,ATL,WR,250,,
Tyquan Thornton,KC,WR,252,264,-12
Germie Bernard,PIT,WR,253,226,27
Skyler Bell,BUF,WR,255,,
Emanuel Wilson,SEA,RB,256,277,-21
Michael Penix Jr.,ATL,QB,257,256,1
Tory Horton,SEA,WR,258,291,-33
Aaron Rodgers,PIT,QB,259,225,34
Malachi Fields,NYG,WR,260,294,-34
Darius Slayton,NYG,WR,261,227,34
Troy Franklin,DEN,WR,264,282,-18
Charlie Smyth,NO,K,265,,
Chris Bell,MIA,WR,266,269,-3
Elijah Sarratt,BAL,WR,267,249,18
Ted Hurst III,TB,WR,268,283,-15
Trey Smack,GB,K,269,,
Shedeur Sanders,CLE,QB,270,,
Keenan Allen,LAC,WR,271,250,21
Cade Otton,TB,TE,272,241,31
Wil Lutz,DEN,K,273,298,-25
Tank Dell,HOU,WR,274,262,12
Jalen Tolbert,MIA,WR,275,278,-3
Ja'Kobi Lane,BAL,WR,277,200,77
Cyrus Allen,KC,WR,278,214,64
Caleb Douglas,MIA,WR,279,217,62
Colby Parkinson,LAR,TE,280,222,58
Najee Harris,LAC,RB,281,,
Cooper Kupp,SEA,WR,282,229,53
Eli Stowers,PHI,TE,283,270,13
Nick Chubb,HOU,RB,284,,
Pat Freiermuth,PIT,TE,285,272,13
Jake Elliott,PHI,K,286,234,52
Tyler Higbee,LAR,TE,287,,
Darnell Washington,PIT,TE,288,271,17
Samaje Perine,CIN,RB,289,285,4
Evan Engram,DEN,TE,291,240,51
Chris Brooks,GB,RB,293,290,3
Jaylen Wright,MIA,RB,294,280,14
Devin Neal,NO,RB,296,,
Phil Mafah,DAL,RB,297,,
Xavier Legette,CAR,WR,298,,
Deshaun Watson,CLE,QB,299,246,53
