Pos,index,Rank,Player,Team,ESPN Value,UD Value
WR,211,266,Zay Jones,Cardinals,$0,$0
RB,212,277,Keaton Mitchell,Ravens,$0,$0
RB,213,234,Jamaal Williams,Saints,$0,$0
RB,214,175,Tank Bigsby,Jaguars,$0,$0
TE,215,209,Cade Otton,Bucs,$0,$0
TE,216,144,Noah Fant,Seahawks,$0,$1
TE,217,251,Hayden Hurst,Chargers,$0,$0
QB,218,136,Geno Smith,Seahawks,$0,$0
QB,219,187,Will Levis,Titans,$0,$0
QB,220,193,Russell Wilson,Steelers,$0,$0
RB,221,232,Kenneth Gainwell,Eagles,$0,$0
RB,222,202,Roschon Johnson,Bears,$0,$0
RB,223,162,Tyrone Tracy,Giants,$0,$0
WR,224,149,Rashod Bateman,Ravens,$0,$1
RB,225,231,Justice Hill,Ravens,$0,$0
RB,226,174,Bucky Irving,Bucs,$0,$0
WR,227,183,Jalen Tolbert,Cowboys,$0,$0
WR,228,153,Michael Wilson,Cardinals,$0,$1
WR,229,240,Luke McCaffrey,Commanders,$0,$0
WR,231,184,Jalen McMillan,Bucs,$0,$0
WR,232,196,Odell Beckham,Dolphins,$0,$0
WR,233,265,Trey Palmer,Bucs,$0,$0
WR,234,239,Malachi Corley,Jets,$0,$0
RB,239,278,D'Onta Foreman,Browns,$0,$0
RB,240,173,Dameon Pierce,Texans,$0,$0
RB,242,177,Audric Estime,Broncos,$0,$0
RB,249,201,Trey Sermon,Colts,$0,$0
WR,252,219,Kalif Raymond,Lions,$0,$0
TE,258,211,Dawson Knox,Bills,$0,$0
TE,259,189,Jonnu Smith,Dolphins,$0,$0
TE,260,248,Jelani Woods,Colts,$0,$0
WR,261,214,Van Jefferson,Steelers,$0,$0
WR,262,264,Elijah Moore,Browns,$0,$0
WR,263,217,Roman Wilson,Steelers,$0,$0
WR,264,237,Tim Patrick,Broncos,$0,$0
QB,267,186,Bo Nix,Broncos,$0,$0
QB,268,207,Derek Carr,Saints,$0,$0
QB,269,208,J.J. McCarthy,Vikings,$0,$0
QB,270,192,Drake Maye,Patriots,$0,$0
WR,271,223,Tre Tucker,Raiders,$0,$0
WR,272,197,Cedric Tillman,Browns,$0,$0
WR,273,220,Josh Reynolds,Broncos,$0,$0
RB,277,198,Kimani Vidal,Chargers,$0,$0
RB,282,203,Will Shipley,Eagles,$0,$0
RB,283,156,Jordan Mason,49ers,$0,$1
WR,284,150,Andrei Iosivas,Bengals,$0,$1
TE,289,171,Ben Sinnott,Commanders,$0,$0
TE,290,170,Colby Parkinson,Rams,$0,$0
TE,291,228,Greg Dulcich,Broncos,$0,$0
TE,292,253,Zach Ertz,Commanders,$0,$0
TE,293,210,Isaiah Likely,Ravens,$0,$0
WR,294,269,Troy Franklin,Broncos,$0,$0
WR,295,272,Tutu Atwell,Rams,$0,$0
QB,296,244,Gardner Minshew,Raiders,$0,$0
QB,301,212,Aidan O'Connell,Raiders,$0,$0
QB,302,188,Sam Darnold,Vikings,$0,$0
RB,307,233,Samaje Perine,Broncos,$0,$0
QB,310,243,Jacoby Brissett,Patriots,$0,$0
TE,311,252,Daniel Bellinger,Giants,$0,$0
TE,312,245,Mike Gesicki,Bengals,$0,$0
TE,313,246,Michael Mayer,Raiders,$0,$0
QB,315,206,Justin Fields,Steelers,$0,$0
QB,316,242,Michael Penix,Falcons,$0,$0
RB,320,200,AJ Dillon,Packers,$0,$0
TE,325,227,Will Dissly,Chargers,$0,$0
TE,326,247,Tommy Tremble,Panthers,$0,$0
TE,328,230,Theo Johnson,Giants,$0,$0
TE,332,249,Gerald Everett,Bears,$0,$0
WR,369,238,Xavier Gipson,Jets,$0,$0
WR,370,273,Devontez Walker,Ravens,$0,$0
WR,371,261,Noah Brown,Texans,$0,$0
WR,372,257,Jauan Jennings,49ers,$0,$0
WR,375,221,Treylon Burks,Titans,$0,$0
WR,377,216,Greg Dortch,Cardinals,$0,$0
WR,378,271,Calvin AustinI,Steelers,$0,$0
TE,380,254,Ja'Tavion Sanders,Panthers,$0,$0
WR,387,225,K.J. Osborn,Patriots,$0,$0
WR,391,255,Cedrick Wilson,Saints,$0,$0
