Pos,RK,Rank,Player,Team (Bye),Position Category
RB38,126,146,Ezekiel Elliott,DAL (7),RB
RB39,127,115,Gus Edwards,LAC (5),RB
RB40,128,130,Zach Charbonnet,SEA (10),RB
WR53,129,94,Joshua Palmer,LAC (5),WR
WR54,130,109,Romeo Doubs,GB (10),WR
QB22,131,136,Geno Smith,SEA (10),QB
QB23,132,185,Baker Mayfield,TB (11),QB
WR55,133,112,Rashid Shaheed,NO (12),WR
TE16,134,190,Cole Kmet,CHI (7),TE
WR56,135,113,Brandin Cooks,DAL (7),WR
WR57,136,111,Mike Williams,NYJ (12),WR
RB41,137,138,Chuba Hubbard,CAR (11),RB
WR58,138,154,Josh Downs,IND (14),WR
RB42,139,134,Trey Benson,ARI (11),RB
RB43,140,176,Antonio Gibson,NE (14),RB
QB24,141,187,Will Levis,TEN (5),QB
TE17,142,137,Luke Musgrave,GB (10),TE
RB44,143,101,Blake Corum,LAR (6),RB
WR59,144,124,Khalil Shakir,BUF (12),WR
TE18,145,142,Hunter Henry,NE (14),TE
WR60,146,114,Jerry Jeudy,CLE (10),WR
RB45,147,96,Rico Dowdle,DAL (7),RB
RB46,148,139,Ty Chandler,MIN (6),RB
RB47,149,178,Jaleel McLaughlin,DEN (14),RB
WR61,150,148,Jahan Dotson,WAS (14),WR
RB48,151,133,Tyler Allgeier,ATL (12),RB
QB25,152,168,Daniel Jones,NYG (11),QB
WR62,153,123,Gabe Davis,JAC (12),WR
QB26,154,207,Derek Carr,NO (12),QB
RB49,155,163,J.K. Dobbins,LAC (5),RB
WR63,156,152,Adam Thielen,CAR (11),WR
RB50,157,161,Khalil Herbert,CHI (7),RB
RB51,158,276,Kendre Miller,NO (12),RB
WR64,160,180,Demario Douglas,NE (14),WR
WR65,161,125,Dontayvion Wicks,GB (10),WR
TE19,163,143,Tyler Conklin,NYJ (12),TE
RB52,164,202,Roschon Johnson,CHI (7),RB
TE20,165,209,Cade Otton,TB (11),TE
RB53,167,164,MarShawn Lloyd,GB (10),RB
WR66,168,181,Wan'Dale Robinson,NYG (11),WR
WR67,169,140,Ja'Lynn Polk,NE (14),WR
WR68,170,153,Michael Wilson,ARI (11),WR
WR69,171,141,Darnell Mooney,ATL (12),WR
QB27,173,191,Bryce Young,CAR (11),QB
WR70,175,128,Adonai Mitchell,IND (14),WR
WR71,176,149,Rashod Bateman,BAL (14),WR
WR72,178,160,Marvin Mims,DEN (14),WR
RB54,179,157,Ray Davis,BUF (12),RB
WR73,182,159,Xavier Legette,CAR (11),WR
TE22,183,144,Noah Fant,SEA (10),TE
TE23,186,166,Juwan Johnson,NO (12),TE
RB55,187,179,Jaylen Wright,MIA (6),RB
QB28,189,193,Russell Wilson,PIT (9),QB
WR74,190,260,Quentin Johnston,LAC (5),WR
RB56,193,204,Elijah Mitchell,SF (9),RB
WR75,195,195,Jermaine Burton,CIN (12),WR
RB57,197,173,Dameon Pierce,HOU (14),RB
WR76,200,158,Demarcus Robinson,LAR (6),WR
TE25,201,210,Isaiah Likely,BAL (14),TE
WR77,202,264,Elijah Moore,CLE (10),WR
WR78,203,182,Ricky Pearsall,SF (9),WR
RB58,206,174,Bucky Irving,TB (11),RB
TE26,208,171,Ben Sinnott,WAS (14),TE
RB59,211,155,Braelon Allen,NYJ (12),RB
WR79,213,222,Darius Slayton,NYG (11),WR
QB29,215,186,Bo Nix,DEN (14),QB
WR80,216,217,Roman Wilson,PIT (9),WR
WR81,218,263,Javon Baker,NE (14),WR
TE27,219,229,Tucker Kraft,GB (10),TE
WR82,220,269,Troy Franklin,DEN (14),WR
RB60,221,199,Alexander Mattison,LV (10),RB
WR83,222,262,Tyler Boyd,TEN (5),WR
RB61,223,232,Kenneth Gainwell,PHI (5),RB
TE28,224,245,Mike Gesicki,CIN (12),TE
WR84,225,194,Jalin Hyatt,NYG (11),WR
RB62,226,177,Audric Estime,DEN (14),RB
RB63,227,200,AJ Dillon,GB (10),RB
RB64,228,231,Justice Hill,BAL (14),RB
RB65,229,278,D'Onta Foreman,CLE (10),RB
RB66,231,172,Clyde Edwards-Helaire,KC (6),RB
RB67,232,277,Keaton Mitchell,BAL (14),RB
TE29,234,246,Michael Mayer,LV (10),TE
WR85,235,184,Jalen McMillan,TB (11),WR
QB30,236,206,Justin Fields,PIT (9),QB
QB31,237,192,Drake Maye,NE (14),QB
WR86,238,239,Malachi Corley,NYJ (12),WR
RB68,239,280,Miles Sanders,CAR (11),RB
WR87,240,256,Kendrick Bourne,NE (14),WR
WR88,242,266,Zay Jones,ARI (11),WR
WR89,243,196,Odell Beckham,MIA (6),WR
RB69,246,198,Kimani Vidal,LAC (5),RB
WR90,247,236,DJ Chark,LAC (5),WR
RB70,249,175,Tank Bigsby,JAC (12),RB
WR92,250,150,Andrei Iosivas,CIN (12),WR
WR93,252,221,Treylon Burks,TEN (5),WR
RB71,253,234,Jamaal Williams,NO (12),RB
TE30,255,249,Gerald Everett,CHI (7),TE
RB72,256,162,Tyrone Tracy,NYG (11),RB
QB32,257,188,Sam Darnold,MIN (6),QB
TE31,258,254,Ja'Tavion Sanders,CAR (11),TE
TE32,259,211,Dawson Knox,BUF (12),TE
WR94,260,267,A.T. Perry,NO (12),WR
TE33,261,248,Jelani Woods,IND (14),TE
TE34,262,189,Jonnu Smith,MIA (6),TE
RB73,263,233,Samaje Perine,DEN (14),RB
RB74,265,203,Will Shipley,PHI (5),RB
WR95,266,258,Alec Pierce,IND (14),WR
QB33,267,244,Gardner Minshew,LV (10),QB
WR96,268,197,Cedric Tillman,CLE (10),WR
WR97,269,220,Josh Reynolds,DEN (14),WR
RB75,270,279,Dylan Laube,LV (10),RB
WR98,271,225,K.J. Osborn,NE (14),WR
WR99,272,273,Devontez Walker,BAL (14),WR
WR100,274,265,Trey Palmer,TB (11),WR
RB76,276,156,Jordan Mason,SF (9),RB
TE35,277,253,Zach Ertz,WAS (14),TE
WR101,278,240,Luke McCaffrey,WAS (14),WR
RB77,280,201,Trey Sermon,IND (14),RB
TE36,282,228,Greg Dulcich,DEN (14),TE
WR102,283,216,Greg Dortch,ARI (11),WR
WR103,286,183,Jalen Tolbert,DAL (7),WR
WR104,288,261,Noah Brown,HOU (14),WR
WR105,289,268,Kadarius Toney,KC (6),WR
QB34,291,212,Aidan O'Connell,LV (10),QB
TE38,297,170,Colby Parkinson,LAR (6),TE
QB35,300,243,Jacoby Brissett,NE (14),QB
TE39,303,230,Theo Johnson,NYG (11),TE
TE40,313,252,Daniel Bellinger,NYG (11),TE
TE41,315,251,Hayden Hurst,LAC (5),TE
WR110,317,272,Tutu Atwell,LAR (6),WR
QB36,323,242,Michael Penix,ATL (12),QB
WR112,324,219,Kalif Raymond,DET (5),WR
RB96,325,205,Deneric Prince,KC (6),RB
WR116,333,257,Jauan Jennings,SF (9),WR
WR117,335,241,Bo Melton,GB (10),WR
WR118,336,223,Tre Tucker,LV (10),WR
WR119,337,275,Malik Washington,MIA (6),WR
WR120,339,271,Calvin AustinI,PIT (9),WR
WR121,342,214,Van Jefferson,PIT (9),WR
WR124,347,237,Tim Patrick,DEN (14),WR
TE44,349,227,Will Dissly,LAC (5),TE
WR128,355,238,Xavier Gipson,NYJ (12),WR
WR130,360,213,Johnny Wilson,PHI (5),WR
WR133,372,274,Parker Washington,JAC (12),WR
WR135,376,255,Cedrick Wilson,NO (12),WR
TE50,381,247,Tommy Tremble,CAR (11),TE
WR137,382,259,Mack Hollins,BUF (12),WR
