Player,Rank,ADP,Diff,Finish2025,Team,Pos,PosRank,Notes,Id
Michael Pittman Jr.,104,,,,PIT,WR,49,,19278
Jalen Coker,105,,,,CAR,WR,50,,26403
Juwan Johnson,106,,,,NO,TE,12,,19562
Travis Kelce,107,,,,KC,TE,13,,11594
Romeo Doubs,108,,,,NE,WR,51,,23794
Xavier Worthy,109,,,,KC,WR,52,,23019
Dallas Goedert,110,,,,PHI,TE,14,,17270
Blake Corum,111,,,,LAR,RB,36,,23013
Rico Dowdle,112,,,,PIT,RB,37,,19647
Bo Nix,113,,,,DEN,QB,10,,22910
Trevor Lawrence,114,,,,JAC,QB,11,,19780
Rachaad White,115,,,,WAS,RB,38,,23891
Aaron Jones Sr.,116,,,,MIN,RB,39,,16673
Chris Rodriguez Jr.,117,,,,JAC,RB,40,,22986
Kenny Gainwell,118,,,,TB,RB,41,,23310
Keaton Mitchell,119,,,,LAC,RB,42,,25360
Khalil Shakir,120,,,,BUF,WR,53,,23748
Jordyn Tyson,121,,,,NO,WR,54,,26035
Ka'imi Fairbairn,122,,,,HOU,K,1,,15756
Brandon Aubrey,123,,,,DAL,K,2,,26068
Kyler Murray,124,,,,MIN,QB,12,,18600
Matthew Stafford,125,,,,LAR,QB,13,,9451
Brock Purdy,126,,,,SF,QB,14,,19797
Jordan Love,127,,,,GB,QB,15,,19246
Jared Goff,128,,,,DET,QB,16,,15501
Jaxson Dart,129,,,,NYG,QB,17,,23160
Mark Andrews,130,,,,BAL,TE,15,,17269
Keenan Allen,131,,,,IND,WR,55,,11616
Tre Tucker,132,,,,LV,WR,56,,25337
Jakobi Meyers,133,,,,JAC,WR,57,,18598
Rashid Shaheed,134,,,,SEA,WR,58,,24687
Ja'Kobi Lane,135,,,,BAL,WR,59,,27337
Woody Marks,136,,,,HOU,RB,43,,27520
Kyle Monangai,137,,,,CHI,RB,44,,27131
Jordan Mason,138,,,,MIN,RB,45,,22969
Terrance Ferguson,139,,,,LAR,TE,16,,23091
Jake Ferguson,140,,,,DAL,TE,17,,22718
Dalton Schultz,141,,,,HOU,TE,18,,17349
Denzel Boston,142,,,,CLE,WR,60,,27339
Travis Hunter,143,,,,JAC,WR,61,,26034
Patrick Mahomes II,144,,,,KC,QB,18,,16413
Baker Mayfield,145,,,,TB,QB,19,,17237
Houston Texans,146,,,,HOU,DST,1,,8120
Los Angeles Rams,147,,,,LAR,DST,2,,8280
Philadelphia Eagles,148,,,,PHI,DST,3,,8230
Mike Washington Jr.,149,,,,LV,RB,46,,28108
Zach Charbonnet,150,,,,SEA,RB,47,,23152
Cameron Dicker,151,,,,LAC,K,3,,23901
Jason Myers,152,,,,SEA,K,4,,14003
Seattle Seahawks,153,,,,SEA,DST,4,,8260
Denver Broncos,154,,,,DEN,DST,5,,8090
Jacksonville Jaguars,155,,,,JAC,DST,6,,8140
Malik Willis,156,,,,MIA,QB,20,,23499
Cam Little,157,,,,JAC,K,5,,26475
Tyler Loop,158,,,,BAL,K,6,,27534
Tyjae Spears,159,,,,TEN,RB,48,,25323
Tank Bigsby,160,,,,PHI,RB,49,,22908
Tyler Allgeier,161,,,,ARI,RB,50,,24172
Minnesota Vikings,162,,,,MIN,DST,7,,8170
Pittsburgh Steelers,163,,,,PIT,DST,8,,8240
Baltimore Ravens,164,,,,BAL,DST,9,,8020
New England Patriots,165,,,,NE,DST,10,,8180
Omar Cooper Jr.,166,,,,NYJ,WR,62,,28127
Adonai Mitchell,167,,,,NYJ,WR,63,,24357
Kayshon Boutte,168,,,,HOU,WR,64,,22989
Dontayvion Wicks,169,,,,PHI,WR,65,,24354
Deebo Samuel Sr.,170,,,,SF,WR,66,,18244
Will Reichard,171,,,,MIN,K,7,,26341
Cairo Santos,172,,,,CHI,K,8,,13731
Evan McPherson,173,,,,CIN,K,9,,23297
Eddy Pineiro,174,,,,SF,K,10,,17575
Wil Lutz,175,,,,DEN,K,11,,16026
Chig Okonkwo,176,,,,WAS,TE,19,,23982
Brenton Strange,177,,,,JAC,TE,20,,25345
AJ Barner,178,,,,SEA,TE,21,,26335
Pat Bryant,179,,,,DEN,WR,67,,27211
Jalen McMillan,180,,,,TB,WR,68,,23179
Ryan Flournoy,181,,,,DAL,WR,69,,26398
Tre' Harris,182,,,,LAC,WR,70,,26215
Tyler Shough,183,,,,NO,QB,21,,23096
Ray Davis,184,,,,BUF,RB,51,,26191
Brian Robinson Jr.,185,,,,ATL,RB,52,,20094
Braelon Allen,186,,,,NYJ,RB,53,,24346
Malik Davis,187,,,,DAL,RB,54,,24205
Emmett Johnson,188,,,,KC,RB,55,,28107
Dylan Sampson,189,,,,CLE,RB,56,,27102
Jonah Coleman,190,,,,DEN,RB,57,,27320
Chris Bell,191,,,,MIA,WR,71,,26038
Jerry Jeudy,192,,,,CLE,WR,72,,19201
Sam Darnold,193,,,,SEA,QB,22,,17236
C.J. Stroud,194,,,,HOU,QB,23,,23071
Pat Freiermuth,195,,,,PIT,TE,22,,20163
Hunter Henry,196,,,,NE,TE,23,,15561
Colby Parkinson,197,,,,LAR,TE,24,,19372
Kenyon Sadiq,198,,,,NYJ,TE,25,,26055
Daniel Jones,199,,,,IND,QB,24,,18232
Dallas Cowboys,200,,,,DAL,DST,11,,8080
Los Angeles Chargers,201,,,,LAC,DST,12,,8250
Green Bay Packers,202,,,,GB,DST,13,,8110
Jake Bates,203,,,,DET,K,12,,26075
Harrison Mevis,204,,,,LAR,K,13,,26638
Chase McLaughlin,205,,,,TB,K,14,,19058
Trey Smack,206,,,,GB,K,15,,28507
Chris Boswell,207,,,,PIT,K,16,,13029
Andy Borregales,208,,,,NE,K,17,,27291
Harrison Butker,209,,,,KC,K,18,,16712
Devaughn Vele,210,,,,NO,WR,73,,26409
Malachi Fields,211,,,,NYG,WR,74,,27994
Jalen Nailor,212,,,,LV,WR,75,,24177
Bryce Young,213,,,,CAR,QB,25,,22900
Fernando Mendoza,214,,,,LV,QB,26,,28013
Geno Smith,215,,,,NYJ,QB,27,,11687
Kaelon Black,216,,,,SF,RB,58,,28401
T.J. Hockenson,217,,,,MIN,TE,26,,18290
Darren Waller,218,,,,CAR,TE,27,,14104
Greg Dulcich,219,,,,MIA,TE,28,,23153
Michael Mayer,220,,,,LV,TE,29,,23056
Malik Washington,221,,,,MIA,WR,76,,26314
Caleb Douglas,222,,,,MIA,WR,77,,28135
Nicholas Singleton,222,,,,TEN,RB,59,,24343
Germie Bernard,223,,,,PIT,WR,78,,26039
Calvin Ridley,224,,,,TEN,WR,79,,17258
Alvin Kamara,225,,,,NO,RB,60,,16421
Sean Tucker,226,,,,TB,RB,61,,23679
Kaleb Johnson,227,,,,GB,RB,62,,27165
Samaje Perine,228,,,,CIN,RB,63,,16423
Cam Ward,229,,,,TEN,QB,28,,24755
Aaron Rodgers,230,,,,PIT,QB,29,,9001
Tyquan Thornton,231,,,,KC,WR,80,,22913
Keon Coleman,232,,,,BUF,WR,81,,26019
Jaylin Noel,233,,,,HOU,WR,82,,27122
Treylon Burks,234,,,,WAS,WR,83,,22905
Cyrus Allen,235,,,,KC,WR,84,,28424
Jauan Jennings,236,,,,MIN,WR,85,,19590
Kansas City Chiefs,237,,,,KC,DST,14,,8150
Cincinnati Bengals,238,,,,CIN,DST,15,,8060
Tampa Bay Buccaneers,239,,,,TB,DST,16,,8290
New York Giants,240,,,,NYG,DST,17,,8200
San Francisco 49ers,241,,,,SF,DST,18,,8270
Cade Otton,242,,,,TB,TE,30,,23181
Evan Engram,243,,,,DEN,TE,31,,16411
Jake Elliott,244,,,,PHI,K,19,,16540
Blake Grupe,245,,,,NYJ,K,20,,25533
Cleveland Browns,246,,,,CLE,DST,19,,8070
Tennessee Titans,247,,,,TEN,DST,20,,8300
Buffalo Bills,248,,,,BUF,DST,21,,8030
Tank Dell,249,,,,HOU,WR,86,,25361
Michael Penix Jr.,249,,,,ATL,QB,30,,22973
Jacoby Brissett,250,,,,ARI,QB,31,,15642
Andrei Iosivas,251,,,,CIN,WR,87,,25335
Rashod Bateman,252,,,,BAL,WR,88,,19794
Najee Harris,253,,,,NYG,RB,64,,19302
Seth McGowan,254,,,,IND,RB,65,,23079
Antonio Williams,254,,,,WAS,WR,89,,25418
Justice Hill,255,,,,BAL,RB,66,,18256
Charlie Smyth,256,,,,NO,K,21,,26444
Tyler Bass,257,,,,BUF,K,22,,19760
Nick Folk,258,,,,ATL,K,23,,9491
Darnell Mooney,259,,,,NYG,WR,90,,19810
New Orleans Saints,259,,,,NO,DST,22,,8190
Demond Claiborne,260,,,,MIN,RB,67,,28084
Indianapolis Colts,260,,,,IND,DST,23,,8130
Zane Gonzalez,261,,,,FA,K,24,,16548
Emanuel Wilson,262,,,,SEA,RB,68,,25885
Ryan Fitzgerald,262,,,,CAR,K,25,,27261
Spencer Shrader,263,,,,IND,K,26,,26763
Ben Sauls,264,,,,FA,K,27,,27798
Detroit Lions,265,,,,DET,DST,24,,8100
Shedeur Sanders,266,,,,CLE,QB,32,,25968
Kirk Cousins,267,,,,LV,QB,33,,11177
Charlie Kolar,268,,,,LAC,TE,32,,22756
Gunnar Helm,269,,,,TEN,TE,33,,27109
Oronde Gadsden II,270,,,,LAC,TE,34,,25997
Jahan Dotson,271,,,,ATL,WR,91,,23101
Ollie Gordon II,271,,,,MIA,RB,69,,25984
Cooper Kupp,272,,,,SEA,WR,92,,16433
DeMario Douglas,273,,,,NE,WR,93,,25304
Troy Franklin,273,,,,DEN,WR,94,,23092
Isaac TeSlaa,274,,,,DET,WR,95,,27446
Isaiah Davis,274,,,,NYJ,RB,70,,25977
Zachariah Branch,275,,,,ATL,WR,96,,25419
Isiah Pacheco,276,,,,DET,RB,71,,24333
Kaytron Allen,277,,,,WAS,RB,72,,24362
Chris Brooks,277,,,,GB,RB,73,,25823
Jaylen Wright,278,,,,MIA,RB,74,,25987
Kendre Miller,279,,,,NO,RB,75,,24360
Deshaun Watson,280,,,,CLE,QB,34,,16398
Elijah Sarratt,281,,,,BAL,WR,97,,27463
New York Jets,281,,,,NYJ,DST,25,,8210
Las Vegas Raiders,282,,,,LV,DST,26,,8220
James Conner,283,,,,ARI,RB,76,,16447
Mason Taylor,283,,,,NYJ,TE,35,,26005
Erick All Jr.,284,,,,CIN,TE,36,,23837
Tory Horton,285,,,,SEA,WR,98,,26022
Eli Raridon,285,,,,NE,TE,37,,28154
Devin Singletary,286,,,,NYG,RB,77,,18280
Darnell Washington,286,,,,PIT,TE,38,,22967
Darius Slayton,287,,,,NYG,WR,99,,18706
Elic Ayomanor,287,,,,TEN,WR,100,,27059
Xavier Hutchinson,288,,,,HOU,WR,101,,25332
Jack Bech,289,,,,LV,WR,102,,27224
LeQuint Allen Jr.,290,,,,JAC,RB,78,,27285
Kimani Vidal,291,,,,LAC,RB,79,,26355
George Holani,292,,,,SEA,RB,80,,22915
Tahj Brooks,292,,,,CIN,RB,81,,26212
Phil Mafah,293,,,,FA,RB,82,,22928
Jordan James,294,,,,SF,RB,83,,27310
Ty Johnson,294,,,,BUF,RB,84,,18406
Tyrone Tracy Jr.,295,,,,NYG,RB,85,,22980
Chimere Dike,295,,,,TEN,WR,103,,27315
DJ Giddens,296,,,,IND,RB,86,,27097
Luke McCaffrey,297,,,,WAS,WR,104,,26328
Ted Hurst III,298,,,,TB,WR,105,,28130
Jake Tonges,298,,,,SF,TE,39,,24778
David Njoku,299,,,,LAC,TE,40,,16399
Kyle Williams,299,,,,NE,WR,106,,27487
