Player,Rank,ADP,Diff,Finish2025,Team,Pos,PosRank,Notes,Id
Cam Skattebo,48,,,,NYG,RB,19,,27166
DJ Moore,49,,,,BUF,WR,26,,17265
Luther Burden III,50,,,,CHI,WR,27,,27016
Davante Adams,51,,,,LAR,WR,28,,12123
Mike Evans,52,,,,SF,WR,29,,12119
Terry McLaurin,53,,,,WAS,WR,30,,18466
Quinshon Judkins,54,,,,CLE,RB,20,,25391
Lamar Jackson,55,,,,BAL,QB,2,,17233
Bucky Irving,56,,,,TB,RB,21,,25981
Jadarian Price,57,,,,SEA,RB,22,,27329
David Montgomery,58,,,,HOU,RB,23,,18239
Tyler Warren,59,,,,IND,TE,4,,26434
Jalen Hurts,60,,,,PHI,QB,3,,19275
Joe Burrow,61,,,,CIN,QB,4,,19196
Drake Maye,62,,,,NE,QB,5,,23046
Josh Jacobs,63,,,,GB,RB,24,,18269
Jaylen Warren,64,,,,PIT,RB,25,,24209
Bhayshul Tuten,65,,,,JAC,RB,26,,27297
Rhamondre Stevenson,66,,,,NE,RB,27,,22726
Sam LaPorta,67,,,,DET,TE,5,,22978
Jayden Daniels,68,,,,WAS,QB,6,,22902
Caleb Williams,69,,,,CHI,QB,7,,23084
Dak Prescott,70,,,,DAL,QB,8,,15600
TreVeyon Henderson,71,,,,NE,RB,28,,23065
Brian Thomas Jr.,72,,,,JAC,WR,31,,23000
Marvin Harrison Jr.,73,,,,ARI,WR,32,,23064
Matthew Golden,74,,,,GB,WR,33,,26024
Alec Pierce,75,,,,IND,WR,34,,23791
Jordan Addison,76,,,,MIN,WR,35,,23107
DK Metcalf,77,,,,PIT,WR,36,,18219
Quentin Johnston,78,,,,LAC,WR,37,,23123
Kyle Pitts Sr.,79,,,,ATL,TE,6,,20164
Tucker Kraft,80,,,,GB,TE,7,,25298
KC Concepcion,81,,,,CLE,WR,38,,27331
Makai Lemon,82,,,,PHI,WR,39,,25420
Carnell Tate,83,,,,TEN,WR,40,,26009
J.K. Dobbins,84,,,,DEN,RB,29,,19245
Chuba Hubbard,85,,,,CAR,RB,30,,19792
Tony Pollard,86,,,,TEN,RB,31,,18705
Justin Herbert,87,,,,LAC,QB,9,,18635
Michael Wilson,88,,,,ARI,WR,41,,25333
Harold Fannin Jr.,89,,,,CLE,TE,8,,27050
Blake Corum,90,,,,LAR,RB,32,,23013
Jonathon Brooks,91,,,,CAR,RB,33,,26148
Bo Nix,92,,,,DEN,QB,10,,22910
Trevor Lawrence,93,,,,JAC,QB,11,,19780
Courtland Sutton,94,,,,DEN,WR,42,,17253
Jayden Reed,95,,,,GB,WR,43,,23020
Josh Downs,96,,,,IND,WR,44,,24706
Wan'Dale Robinson,97,,,,TEN,WR,45,,22985
Chris Godwin Jr.,98,,,,TB,WR,46,,16406
Jacory Croskey-Merritt,99,,,,WAS,RB,34,,27316
Rico Dowdle,100,,,,PIT,RB,35,,19647
Kyler Murray,101,,,,MIN,QB,12,,18600
Matthew Stafford,102,,,,LAR,QB,13,,9451
Brock Purdy,103,,,,SF,QB,14,,19797
Dalton Kincaid,104,,,,BUF,TE,9,,25247
George Kittle,105,,,,SF,TE,10,,16499
Isaiah Likely,106,,,,NYG,TE,11,,23781
Chris Rodriguez Jr.,107,,,,JAC,RB,36,,22986
MarShawn Lloyd,108,,,,GB,RB,37,,23118
De'Zhaun Stribling,109,,,,SF,WR,47,,28138
Stefon Diggs,110,,,,WAS,WR,48,,13981
Jordan Love,111,,,,GB,QB,15,,19246
Jared Goff,112,,,,DET,QB,16,,15501
Jaxson Dart,113,,,,NYG,QB,17,,23160
Rachaad White,114,,,,WAS,RB,38,,23891
Keaton Mitchell,115,,,,LAC,RB,39,,25360
Ka'imi Fairbairn,116,,,,HOU,K,1,,15756
Brandon Aubrey,117,,,,DAL,K,2,,26068
Xavier Worthy,118,,,,KC,WR,49,,23019
Romeo Doubs,119,,,,NE,WR,50,,23794
Michael Pittman Jr.,120,,,,PIT,WR,51,,19278
Travis Kelce,121,,,,KC,TE,12,,11594
RJ Harvey,122,,,,DEN,RB,40,,27142
Jordan Mason,123,,,,MIN,RB,41,,22969
Aaron Jones Sr.,124,,,,MIN,RB,42,,16673
Houston Texans,125,,,,HOU,DST,1,,8120
Los Angeles Rams,126,,,,LAR,DST,2,,8280
Dallas Goedert,127,,,,PHI,TE,13,,17270
Woody Marks,128,,,,HOU,RB,43,,27520
Kenny Gainwell,129,,,,TB,RB,44,,23310
Kyle Monangai,130,,,,CHI,RB,45,,27131
Patrick Mahomes II,131,,,,KC,QB,18,,16413
Baker Mayfield,132,,,,TB,QB,19,,17237
Jalen Coker,133,,,,CAR,WR,52,,26403
Jordyn Tyson,134,,,,NO,WR,53,,26035
Rashid Shaheed,135,,,,SEA,WR,54,,24687
Tre Tucker,136,,,,LV,WR,55,,25337
Philadelphia Eagles,137,,,,PHI,DST,3,,8230
Seattle Seahawks,138,,,,SEA,DST,4,,8260
Cameron Dicker,139,,,,LAC,K,3,,23901
Jason Myers,140,,,,SEA,K,4,,14003
Denver Broncos,141,,,,DEN,DST,5,,8090
Malik Willis,142,,,,MIA,QB,20,,23499
Juwan Johnson,143,,,,NO,TE,14,,19562
Mark Andrews,144,,,,BAL,TE,15,,17269
Mike Washington Jr.,145,,,,LV,RB,46,,28108
Tank Bigsby,146,,,,PHI,RB,47,,22908
Tyjae Spears,147,,,,TEN,RB,48,,25323
Jakobi Meyers,148,,,,JAC,WR,56,,18598
Denzel Boston,149,,,,CLE,WR,57,,27339
Khalil Shakir,150,,,,BUF,WR,58,,23748
Ja'Kobi Lane,151,,,,BAL,WR,59,,27337
Keenan Allen,152,,,,IND,WR,60,,11616
Jacksonville Jaguars,153,,,,JAC,DST,6,,8140
Minnesota Vikings,154,,,,MIN,DST,7,,8170
Pittsburgh Steelers,155,,,,PIT,DST,8,,8240
Cam Little,156,,,,JAC,K,5,,26475
Tyler Loop,157,,,,BAL,K,6,,27534
Jake Ferguson,158,,,,DAL,TE,16,,22718
Dalton Schultz,159,,,,HOU,TE,17,,17349
Terrance Ferguson,160,,,,LAR,TE,18,,23091
Will Reichard,161,,,,MIN,K,7,,26341
Baltimore Ravens,162,,,,BAL,DST,9,,8020
Tyler Allgeier,163,,,,ARI,RB,49,,24172
Tyler Shough,164,,,,NO,QB,21,,23096
Sam Darnold,165,,,,SEA,QB,22,,17236
C.J. Stroud,166,,,,HOU,QB,23,,23071
Travis Hunter,167,,,,JAC,WR,61,,26034
Jalen McMillan,168,,,,TB,WR,62,,23179
Ray Davis,169,,,,BUF,RB,50,,26191
Brian Robinson Jr.,170,,,,ATL,RB,51,,20094
Zach Charbonnet,171,,,,SEA,RB,52,,23152
Dontayvion Wicks,172,,,,PHI,WR,63,,24354
Adonai Mitchell,173,,,,NYJ,WR,64,,24357
Omar Cooper Jr.,174,,,,NYJ,WR,65,,28127
Kayshon Boutte,175,,,,HOU,WR,66,,22989
Chris Bell,176,,,,MIA,WR,67,,26038
Braelon Allen,177,,,,NYJ,RB,53,,24346
Malik Davis,178,,,,DAL,RB,54,,24205
New England Patriots,179,,,,NE,DST,10,,8180
Dallas Cowboys,180,,,,DAL,DST,11,,8080
Cairo Santos,181,,,,CHI,K,8,,13731
Evan McPherson,182,,,,CIN,K,9,,23297
Eddy Pineiro,183,,,,SF,K,10,,17575
Wil Lutz,184,,,,DEN,K,11,,16026
Dylan Sampson,185,,,,CLE,RB,55,,27102
Jonah Coleman,186,,,,DEN,RB,56,,27320
AJ Barner,187,,,,SEA,TE,19,,26335
Chig Okonkwo,188,,,,WAS,TE,20,,23982
Tre' Harris,189,,,,LAC,WR,68,,26215
Deebo Samuel Sr.,190,,,,SF,WR,69,,18244
Pat Bryant,191,,,,DEN,WR,70,,27211
Brenton Strange,192,,,,JAC,TE,21,,25345
Hunter Henry,193,,,,NE,TE,22,,15561
Los Angeles Chargers,194,,,,LAC,DST,12,,8250
Green Bay Packers,195,,,,GB,DST,13,,8110
Jake Bates,196,,,,DET,K,12,,26075
Daniel Jones,197,,,,IND,QB,24,,18232
Bryce Young,198,,,,CAR,QB,25,,22900
Fernando Mendoza,199,,,,LV,QB,26,,28013
T.J. Hockenson,200,,,,MIN,TE,23,,18290
Kenyon Sadiq,201,,,,NYJ,TE,24,,26055
Pat Freiermuth,202,,,,PIT,TE,25,,20163
Colby Parkinson,203,,,,LAR,TE,26,,19372
Darren Waller,204,,,,CAR,TE,27,,14104
Greg Dulcich,205,,,,MIA,TE,28,,23153
Harrison Mevis,206,,,,LAR,K,13,,26638
Kansas City Chiefs,207,,,,KC,DST,14,,8150
Cincinnati Bengals,208,,,,CIN,DST,15,,8060
Emmett Johnson,209,,,,KC,RB,57,,28107
Kaelon Black,210,,,,SF,RB,58,,28401
Kaleb Johnson,211,,,,GB,RB,59,,27165
Michael Mayer,212,,,,LV,TE,29,,23056
Charlie Kolar,213,,,,LAC,TE,30,,22756
Geno Smith,214,,,,NYJ,QB,27,,11687
Cam Ward,215,,,,TEN,QB,28,,24755
Aaron Rodgers,216,,,,PIT,QB,29,,9001
Ryan Flournoy,217,,,,DAL,WR,71,,26398
Jerry Jeudy,218,,,,CLE,WR,72,,19201
Devaughn Vele,219,,,,NO,WR,73,,26409
Jalen Nailor,220,,,,LV,WR,74,,24177
Caleb Douglas,221,,,,MIA,WR,75,,28135
Malachi Fields,222,,,,NYG,WR,76,,27994
Rashod Bateman,223,,,,BAL,WR,77,,19794
Chase McLaughlin,224,,,,TB,K,14,,19058
Trey Smack,225,,,,GB,K,15,,28507
Tampa Bay Buccaneers,226,,,,TB,DST,16,,8290
Michael Penix Jr.,227,,,,ATL,QB,30,,22973
Jaylin Noel,228,,,,HOU,WR,78,,27122
Keon Coleman,229,,,,BUF,WR,79,,26019
Cyrus Allen,230,,,,KC,WR,80,,28424
Jauan Jennings,231,,,,MIN,WR,81,,19590
Calvin Ridley,232,,,,TEN,WR,82,,17258
Treylon Burks,233,,,,WAS,WR,83,,22905
New York Giants,234,,,,NYG,DST,17,,8200
San Francisco 49ers,235,,,,SF,DST,18,,8270
Alvin Kamara,236,,,,NO,RB,60,,16421
Seth McGowan,237,,,,IND,RB,61,,23079
Najee Harris,238,,,,NYG,RB,62,,19302
Samaje Perine,239,,,,CIN,RB,63,,16423
Chris Boswell,240,,,,PIT,K,16,,13029
Andy Borregales,241,,,,NE,K,17,,27291
Evan Engram,242,,,,DEN,TE,31,,16411
Cade Otton,243,,,,TB,TE,32,,23181
Isaac TeSlaa,244,,,,DET,WR,84,,27446
Jahan Dotson,245,,,,ATL,WR,85,,23101
Germie Bernard,246,,,,PIT,WR,86,,26039
Zachariah Branch,247,,,,ATL,WR,87,,25419
Malik Washington,248,,,,MIA,WR,88,,26314
Jacoby Brissett,249,,,,ARI,QB,31,,15642
Cooper Kupp,250,,,,SEA,WR,89,,16433
Kaytron Allen,251,,,,WAS,RB,64,,24362
Sean Tucker,252,,,,TB,RB,65,,23679
Cleveland Browns,253,,,,CLE,DST,19,,8070
Tennessee Titans,254,,,,TEN,DST,20,,8300
Buffalo Bills,255,,,,BUF,DST,21,,8030
New Orleans Saints,256,,,,NO,DST,22,,8190
Indianapolis Colts,257,,,,IND,DST,23,,8130
Shedeur Sanders,258,,,,CLE,QB,32,,25968
Kirk Cousins,259,,,,LV,QB,33,,11177
Deshaun Watson,260,,,,CLE,QB,34,,16398
Tua Tagovailoa,261,,,,ATL,QB,35,,19198
Jaylen Wright,262,,,,MIA,RB,66,,25987
Isiah Pacheco,263,,,,DET,RB,67,,24333
Justice Hill,264,,,,BAL,RB,68,,18256
Kendre Miller,265,,,,NO,RB,69,,24360
Gunnar Helm,266,,,,TEN,TE,33,,27109
Mason Taylor,267,,,,NYJ,TE,34,,26005
Oronde Gadsden II,268,,,,LAC,TE,35,,25997
Erick All Jr.,269,,,,CIN,TE,36,,23837
David Njoku,270,,,,LAC,TE,37,,16399
Mike Gesicki,271,,,,CIN,TE,38,,17272
Jack Bech,272,,,,LV,WR,90,,27224
Andrei Iosivas,273,,,,CIN,WR,91,,25335
Darius Slayton,274,,,,FA,WR,92,,18706
Tyquan Thornton,275,,,,KC,WR,93,,22913
Xavier Hutchinson,276,,,,HOU,WR,94,,25332
Luke McCaffrey,277,,,,WAS,WR,95,,26328
Kimani Vidal,278,,,,LAC,RB,70,,26355
George Holani,279,,,,SEA,RB,71,,22915
Ted Hurst III,280,,,,TB,WR,96,,28130
Kyle Williams,281,,,,NE,WR,97,,27487
Darnell Mooney,282,,,,NYG,WR,98,,19810
Darnell Washington,283,,,,PIT,TE,39,,22967
LeQuint Allen Jr.,284,,,,JAC,RB,72,,27285
Jordan James,285,,,,SF,RB,73,,27310
Tyrone Tracy Jr.,286,,,,NYG,RB,74,,22980
James Conner,287,,,,ARI,RB,75,,16447
Ollie Gordon II,288,,,,MIA,RB,76,,25984
Emanuel Wilson,289,,,,SEA,RB,77,,25885
Emari Demercado,290,,,,DAL,RB,78,,25654
Isaiah Davis,291,,,,NYJ,RB,79,,25977
Chris Brooks,292,,,,GB,RB,80,,25823
Kendrick Bourne,293,,,,ARI,WR,99,,17066
Xavier Legette,294,,,,CAR,WR,100,,26136
Elic Ayomanor,295,,,,TEN,WR,101,,27059
Marvin Mims Jr.,296,,,,DEN,WR,102,,23080
Detroit Lions,297,,,,DET,DST,24,,8100
Harrison Butker,298,,,,KC,K,18,,16712
Nicholas Singleton,299,,,,TEN,RB,81,,24343
Ty Johnson,300,,,,BUF,RB,82,,18406
