Player,Rank,ADP,Diff,Finish2025,Team,Pos,PosRank,Notes,Id
Terry McLaurin,48,,,,WAS,WR,24,,18466
D'Andre Swift,49,,,,CHI,RB,20,,19210
Rome Odunze,50,,,,CHI,WR,25,,25411
DJ Moore,51,,,,BUF,WR,26,,17265
Mike Evans,52,,,,SF,WR,27,,12119
Davante Adams,53,,,,LAR,WR,28,,12123
Luther Burden III,54,,,,CHI,WR,29,,27016
David Montgomery,55,,,,HOU,RB,21,,18239
Quinshon Judkins,56,,,,CLE,RB,22,,25391
Bhayshul Tuten,57,,,,JAC,RB,23,,27297
Tyler Warren,58,,,,IND,TE,4,,26434
Joe Burrow,59,,,,CIN,QB,3,,19196
Jayden Daniels,60,,,,WAS,QB,4,,22902
Drake Maye,61,,,,NE,QB,5,,23046
Jalen Hurts,62,,,,PHI,QB,6,,19275
TreVeyon Henderson,63,,,,NE,RB,24,,23065
Jaylen Warren,64,,,,PIT,RB,25,,24209
Alec Pierce,65,,,,IND,WR,30,,23791
Parker Washington,66,,,,JAC,WR,31,,23106
Jadarian Price,67,,,,SEA,RB,26,,27329
Bucky Irving,68,,,,TB,RB,27,,25981
Rhamondre Stevenson,69,,,,NE,RB,28,,22726
Tony Pollard,70,,,,TEN,RB,29,,18705
Caleb Williams,71,,,,CHI,QB,7,,23084
Dak Prescott,72,,,,DAL,QB,8,,15600
Carnell Tate,73,,,,TEN,WR,32,,26009
Marvin Harrison Jr.,74,,,,ARI,WR,33,,23064
Brian Thomas Jr.,75,,,,JAC,WR,34,,23000
Jordyn Tyson,76,,,,NO,WR,35,,26035
Justin Herbert,77,,,,LAC,QB,9,,18635
Kyle Pitts Sr.,78,,,,ATL,TE,5,,20164
Tucker Kraft,79,,,,GB,TE,6,,25298
Sam LaPorta,80,,,,DET,TE,7,,22978
Harold Fannin Jr.,81,,,,CLE,TE,8,,27050
Chuba Hubbard,82,,,,CAR,RB,30,,19792
DK Metcalf,83,,,,PIT,WR,36,,18219
Makai Lemon,84,,,,PHI,WR,37,,25420
Josh Downs,85,,,,IND,WR,38,,24706
Xavier Worthy,86,,,,KC,WR,39,,23019
Jordan Addison,87,,,,MIN,WR,40,,23107
Quentin Johnston,88,,,,LAC,WR,41,,23123
J.K. Dobbins,89,,,,DEN,RB,31,,19245
Blake Corum,90,,,,LAR,RB,32,,23013
Kyle Monangai,91,,,,CHI,RB,33,,27131
Rachaad White,92,,,,WAS,RB,34,,23891
Jonathon Brooks,93,,,,CAR,RB,35,,26148
Trevor Lawrence,94,,,,JAC,QB,10,,19780
Bo Nix,95,,,,DEN,QB,11,,22910
RJ Harvey,96,,,,DEN,RB,36,,27142
Matthew Stafford,97,,,,LAR,QB,12,,9451
Jaxson Dart,98,,,,NYG,QB,13,,23160
Brock Purdy,99,,,,SF,QB,14,,19797
Brandon Aubrey,100,,,,DAL,K,1,,26068
Matthew Golden,101,,,,GB,WR,42,,26024
Courtland Sutton,102,,,,DEN,WR,43,,17253
Michael Wilson,103,,,,ARI,WR,44,,25333
Jayden Reed,104,,,,GB,WR,45,,23020
Chris Godwin Jr.,105,,,,TB,WR,46,,16406
Jordan Mason,106,,,,MIN,RB,37,,22969
Rico Dowdle,107,,,,PIT,RB,38,,19647
Chris Rodriguez Jr.,108,,,,JAC,RB,39,,22986
Houston Texans,109,,,,HOU,DST,1,,8120
Michael Pittman Jr.,110,,,,PIT,WR,47,,19278
Jalen Coker,111,,,,CAR,WR,48,,26403
Dalton Kincaid,112,,,,BUF,TE,9,,25247
Los Angeles Rams,113,,,,LAR,DST,2,,8280
Kyler Murray,114,,,,MIN,QB,15,,18600
Jared Goff,115,,,,DET,QB,16,,15501
Jordan Love,116,,,,GB,QB,17,,19246
Patrick Mahomes II,117,,,,KC,QB,18,,16413
Baker Mayfield,118,,,,TB,QB,19,,17237
KC Concepcion,119,,,,CLE,WR,49,,27331
De'Zhaun Stribling,120,,,,SF,WR,50,,28138
Dallas Goedert,121,,,,PHI,TE,10,,17270
Mark Andrews,122,,,,BAL,TE,11,,17269
Jacory Croskey-Merritt,123,,,,WAS,RB,40,,27316
Keaton Mitchell,124,,,,LAC,RB,41,,25360
Seattle Seahawks,125,,,,SEA,DST,3,,8260
Denver Broncos,126,,,,DEN,DST,4,,8090
Isaiah Likely,127,,,,NYG,TE,12,,23781
George Kittle,128,,,,SF,TE,13,,16499
Travis Kelce,129,,,,KC,TE,14,,11594
Philadelphia Eagles,130,,,,PHI,DST,5,,8230
Malik Willis,131,,,,MIA,QB,20,,23499
Jayden Higgins,132,,,,HOU,WR,51,,27077
Rashid Shaheed,133,,,,SEA,WR,52,,24687
Stefon Diggs,134,,,,FA,WR,53,,13981
Romeo Doubs,135,,,,NE,WR,54,,23794
Wan'Dale Robinson,136,,,,TEN,WR,55,,22985
Cam Little,137,,,,JAC,K,2,,26475
Cameron Dicker,138,,,,LAC,K,3,,23901
Ka'imi Fairbairn,139,,,,HOU,K,4,,15756
Jacksonville Jaguars,140,,,,JAC,DST,6,,8140
Pittsburgh Steelers,141,,,,PIT,DST,7,,8240
Minnesota Vikings,142,,,,MIN,DST,8,,8170
Jake Bates,143,,,,DET,K,5,,26075
Evan McPherson,144,,,,CIN,K,6,,23297
Khalil Shakir,145,,,,BUF,WR,56,,23748
Jakobi Meyers,146,,,,JAC,WR,57,,18598
Kenny Gainwell,147,,,,TB,RB,42,,23310
Aaron Jones Sr.,148,,,,MIN,RB,43,,16673
Jake Ferguson,149,,,,DAL,TE,15,,22718
Jason Myers,150,,,,SEA,K,7,,14003
New England Patriots,151,,,,NE,DST,9,,8180
Woody Marks,152,,,,HOU,RB,44,,27520
Tyrone Tracy Jr.,153,,,,NYG,RB,45,,22980
Jalen Nailor,154,,,,LV,WR,58,,24177
Jalen McMillan,155,,,,TB,WR,59,,23179
Deebo Samuel Sr.,156,,,,SF,WR,60,,18244
Travis Hunter,157,,,,JAC,WR,61,,26034
Baltimore Ravens,158,,,,BAL,DST,10,,8020
Los Angeles Chargers,159,,,,LAC,DST,11,,8250
Cairo Santos,160,,,,CHI,K,8,,13731
Tyler Loop,161,,,,BAL,K,9,,27534
Eddy Pineiro,162,,,,SF,K,10,,17575
Harrison Mevis,163,,,,LAR,K,11,,26638
C.J. Stroud,164,,,,HOU,QB,21,,23071
Tyler Shough,165,,,,NO,QB,22,,23096
Sam Darnold,166,,,,SEA,QB,23,,17236
Tank Bigsby,167,,,,PHI,RB,46,,22908
Tyler Allgeier,168,,,,ARI,RB,47,,24172
Brian Robinson Jr.,169,,,,ATL,RB,48,,20094
Isiah Pacheco,170,,,,DET,RB,49,,24333
Tyjae Spears,171,,,,TEN,RB,50,,25323
Chig Okonkwo,172,,,,WAS,TE,16,,23982
Juwan Johnson,173,,,,NO,TE,17,,19562
Green Bay Packers,174,,,,GB,DST,12,,8110
Kansas City Chiefs,175,,,,KC,DST,13,,8150
Andy Borregales,176,,,,NE,K,12,,27291
Bryce Young,177,,,,CAR,QB,24,,22900
Daniel Jones,178,,,,IND,QB,25,,18232
AJ Barner,179,,,,SEA,TE,18,,26335
Brenton Strange,180,,,,JAC,TE,19,,25345
Alvin Kamara,181,,,,NO,RB,51,,16421
Dylan Sampson,182,,,,CLE,RB,52,,27102
Chase McLaughlin,183,,,,TB,K,13,,19058
Dallas Cowboys,184,,,,DAL,DST,14,,8080
Detroit Lions,185,,,,DET,DST,15,,8100
Hunter Henry,186,,,,NE,TE,20,,15561
Oronde Gadsden II,187,,,,LAC,TE,21,,25997
Adonai Mitchell,188,,,,NYJ,WR,62,,24357
Jerry Jeudy,189,,,,CLE,WR,63,,19201
Omar Cooper Jr.,190,,,,NYJ,WR,64,,28127
Ryan Flournoy,191,,,,DAL,WR,65,,26398
Jauan Jennings,192,,,,MIN,WR,66,,19590
Tre' Harris,193,,,,LAC,WR,67,,26215
Chris Boswell,194,,,,PIT,K,14,,13029
Harrison Butker,195,,,,KC,K,15,,16712
New York Giants,196,,,,NYG,DST,16,,8200
Cincinnati Bengals,197,,,,CIN,DST,17,,8060
San Francisco 49ers,198,,,,SF,DST,18,,8270
Cam Ward,199,,,,TEN,QB,26,,24755
Geno Smith,200,,,,NYJ,QB,27,,11687
Fernando Mendoza,201,,,,LV,QB,28,,28013
MarShawn Lloyd,202,,,,GB,RB,53,,23118
Sean Tucker,203,,,,TB,RB,54,,23679
Ray Davis,204,,,,BUF,RB,55,,26191
Kaelon Black,205,,,,SF,RB,56,,28401
Malik Washington,206,,,,MIA,WR,68,,26314
Darius Slayton,207,,,,NYG,WR,69,,18706
Tre Tucker,208,,,,LV,WR,70,,25337
Isaac TeSlaa,209,,,,DET,WR,71,,27446
Rashod Bateman,210,,,,BAL,WR,72,,19794
Calvin Ridley,211,,,,TEN,WR,73,,17258
Kenyon Sadiq,212,,,,NYJ,TE,22,,26055
T.J. Hockenson,213,,,,MIN,TE,23,,18290
Greg Dulcich,214,,,,MIA,TE,24,,23153
Dalton Schultz,215,,,,HOU,TE,25,,17349
Aaron Rodgers,216,,,,PIT,QB,29,,9001
Mike Washington Jr.,217,,,,LV,RB,57,,28108
Braelon Allen,218,,,,NYJ,RB,58,,24346
Colby Parkinson,219,,,,LAR,TE,26,,19372
Cade Otton,220,,,,TB,TE,27,,23181
Will Reichard,221,,,,MIN,K,16,,26341
Wil Lutz,222,,,,DEN,K,17,,16026
Atlanta Falcons,223,,,,ATL,DST,19,,8010
Cleveland Browns,224,,,,CLE,DST,20,,8070
Denzel Boston,225,,,,CLE,WR,74,,27339
Germie Bernard,226,,,,PIT,WR,75,,26039
Kaytron Allen,227,,,,WAS,RB,59,,24362
Jonah Coleman,228,,,,DEN,RB,60,,27320
Tennessee Titans,229,,,,TEN,DST,21,,8300
Buffalo Bills,230,,,,BUF,DST,22,,8030
Tampa Bay Buccaneers,231,,,,TB,DST,23,,8290
Terrance Ferguson,232,,,,LAR,TE,28,,23091
Gunnar Helm,233,,,,TEN,TE,29,,27109
Cooper Kupp,234,,,,SEA,WR,76,,16433
Kayshon Boutte,235,,,,NE,WR,77,,22989
Brandon Aiyuk,236,,,,SF,WR,78,,19252
Justice Hill,237,,,,BAL,RB,61,,18256
Zach Charbonnet,238,,,,SEA,RB,62,,23152
Jacoby Brissett,239,,,,ARI,QB,30,,15642
Tua Tagovailoa,240,,,,ATL,QB,31,,19198
Deshaun Watson,241,,,,CLE,QB,32,,16398
James Conner,242,,,,ARI,RB,63,,16447
Dontayvion Wicks,243,,,,PHI,WR,79,,24354
Jack Bech,244,,,,LV,WR,80,,27224
Pat Bryant,245,,,,DEN,WR,81,,27211
Elijah Sarratt,246,,,,BAL,WR,82,,27463
Antonio Williams,247,,,,WAS,WR,83,,25418
Tyquan Thornton,248,,,,KC,WR,84,,22913
Jordan James,249,,,,SF,RB,64,,27310
Jaydon Blue,250,,,,DAL,RB,65,,24344
Kirk Cousins,251,,,,LV,QB,33,,11177
Michael Penix Jr.,252,,,,ATL,QB,34,,22973
Evan Engram,253,,,,DEN,TE,30,,16411
Charlie Kolar,254,,,,LAC,TE,31,,22756
Mike Gesicki,255,,,,CIN,TE,32,,17272
Zachariah Branch,256,,,,ATL,WR,85,,25419
Keenan Allen,257,,,,LAC,WR,86,,11616
Chris Bell,258,,,,MIA,WR,87,,26038
Darnell Mooney,259,,,,NYG,WR,88,,19810
Chris Brazzell II,260,,,,CAR,WR,89,,28047
Emari Demercado,261,,,,KC,RB,66,,25654
Emmett Johnson,262,,,,KC,RB,67,,28107
Kimani Vidal,263,,,,LAC,RB,68,,26355
Eli Stowers,264,,,,PHI,TE,33,,23144
Pat Freiermuth,265,,,,PIT,TE,34,,20163
DJ Giddens,266,,,,IND,RB,69,,27097
David Njoku,267,,,,LAC,TE,35,,16399
Jaylin Noel,268,,,,HOU,WR,90,,27122
Jalen Tolbert,269,,,,MIA,WR,91,,23770
Emanuel Wilson,270,,,,SEA,RB,70,,25885
Troy Franklin,271,,,,DEN,WR,92,,23092
Nicholas Singleton,272,,,,TEN,RB,71,,24343
Jaylen Wright,273,,,,MIA,RB,72,,25987
Tank Dell,274,,,,HOU,WR,93,,25361
Ollie Gordon II,275,,,,MIA,RB,73,,25984
Ted Hurst III,276,,,,TB,WR,94,,28130
Elic Ayomanor,277,,,,TEN,WR,95,,27059
Keon Coleman,278,,,,BUF,WR,96,,26019
Demond Claiborne,279,,,,MIN,RB,74,,28084
Tory Horton,280,,,,SEA,WR,97,,26022
Isaiah Davis,281,,,,NYJ,RB,75,,25977
George Holani,282,,,,SEA,RB,76,,22915
Chris Brooks,283,,,,GB,RB,77,,25823
Marvin Mims Jr.,284,,,,DEN,WR,98,,23080
Malachi Fields,285,,,,NYG,WR,99,,27994
Samaje Perine,286,,,,CIN,RB,78,,16423
LeQuint Allen Jr.,287,,,,JAC,RB,79,,27285
Mack Hollins,288,,,,NE,WR,100,,16489
New Orleans Saints,289,,,,NO,DST,24,,8190
Andrei Iosivas,290,,,,CIN,WR,101,,25335
Ja'Kobi Lane,291,,,,BAL,WR,102,,27337
Calvin Austin III,292,,,,NYG,WR,103,,23739
Treylon Burks,293,,,,WAS,WR,104,,22905
Kendrick Bourne,294,,,,ARI,WR,105,,17066
Jake Elliott,295,,,,PHI,K,18,,16540
Devaughn Vele,296,,,,NO,WR,106,,26409
Mason Taylor,297,,,,NYJ,TE,36,,26005
Hollywood Brown,298,,,,PHI,WR,107,,18226
Christian Kirk,299,,,,SF,WR,108,,17268
