Pos,PPR,Rank,Player,Team,ESPN Value,Adjusted Value,PriceRank
WR,156,165,Demario Douglas,NE,$1,$0,139
WR,157,146,Luther Burden,CHI,$1,$1,125
WR,159,182,Michael Wilson,ARI,$1,$0,135
RB,160,139,Will Shipley,PHI,$1,$1,155
RB,161,158,Nick Chubb,HOU,$0,$1,211
RB,162,226,Justice Hill,BAL,$0,$0,170
WR,163,240,Jack Bech,LV,$0,$0,198
WR,164,164,Kyle Williams,NE,$0,$0,208
TE,165,177,Zach Ertz,WAS,$0,$0,223
TE,166,173,Jonnu Smith,PIT,$0,$0,203
TE,167,211,Darren Waller,MIA,$0,$0,173
TE,168,176,Brenton Strange,JAX,$0,$0,221
WR,193,142,Romeo Doubs,GB,$0,$1,228
WR,194,245,Tyler Lockett,TEN,$0,$0,196
RB,195,222,MarShawn Lloyd,GB,$0,$0,171
RB,196,170,Roschon Johnson,CHI,$0,$0,205
WR,197,269,Nick Westbrook-Ikhine,MIA,$0,$0,183
QB,198,134,Trevor Lawrence,JAX,$0,$1,216
QB,199,156,Cam Ward,TEN,$0,$1,212
QB,200,154,Michael Penix,ATL,$0,$1,214
WR,201,148,Joshua Palmer,BUF,$0,$1,217
WR,202,278,Diontae Johnson,CLE,$0,$0,180
WR,203,264,Brandin Cooks,NO,$0,$0,186
WR,204,143,Darius Slayton,NYG,$0,$1,219
WR,205,197,DeAndre Hopkins,BAL,$0,$0,227
TE,206,174,Cade Otton,TB,$0,$0,220
TE,207,145,Chig Okonkwo,TEN,$0,$1,218
WR,208,204,Pat Bryant,DEN,$0,$0,222
WR,209,184,Quentin Johnston,LAC,$0,$0,237
WR,210,199,Dont'e Thornton,LV,$0,$0,225
WR,211,218,Adonai Mitchell,IND,$0,$0,162
RB,212,101,Dylan Sampson,CLE,$0,$2,230
RB,213,223,Woody Marks,HOU,$0,$0,159
RB,214,225,Kareem Hunt,KC,$0,$0,174
TE,215,162,Mason Taylor,NYJ,$0,$0,209
TE,216,255,Pat Freiermuth,PIT,$0,$0,189
TE,217,175,Dalton Schultz,HOU,$0,$0,202
QB,218,140,Bryce Young,CAR,$0,$1,200
QB,219,155,Geno Smith,LV,$0,$1,213
QB,220,161,Sam Darnold,SEA,$0,$0,210
RB,221,186,Blake Corum,LA,$0,$0,235
RB,222,191,Kendre Miller,NO,$0,$0,232
RB,223,151,Rico Dowdle,CAR,$0,$1,215
WR,224,279,Amari Cooper,,$0,$0,241
RB,225,195,Miles Sanders,DAL,$0,$0,229
RB,226,169,DJ Giddens,IND,$0,$0,206
WR,228,233,Ray-Ray McCloud,ATL,$0,$0,163
WR,229,238,Josh Reynolds,NYJ,$0,$0,179
WR,230,185,Dyami Brown,JAX,$0,$0,236
WR,231,244,Tutu Atwell,LA,$0,$0,197
WR,232,236,Calvin Austin,PIT,$0,$0,178
WR,233,267,Christian Watson,GB,$0,$0,184
WR,234,198,Tre Tucker,LV,$0,$0,226
RB,242,274,Elijah Mitchell,KC,$0,$0,182
RB,243,224,Raheem Mostert,LV,$0,$0,160
RB,245,228,Kyle Monangai,CHI,$0,$0,168
RB,246,187,Ollie Gordon,MIA,$0,$0,234
RB,247,229,Sean Tucker,TB,$0,$0,166
RB,248,247,Isaiah Davis,NYJ,$0,$0,194
RB,249,190,Keaton Mitchell,BAL,$0,$0,233
RB,250,276,Devin Neal,NO,$0,$0,181
WR,252,260,Noah Brown,WAS,$0,$0,188
WR,253,265,Allen Lazard,NYJ,$0,$0,185
TE,258,252,Elijah Arroyo,SEA,$0,$0,191
TE,259,209,Mike Gesicki,CIN,$0,$0,199
TE,260,254,Tyler Higbee,LA,$0,$0,190
WR,261,248,KaVontae Turpin,DAL,$0,$0,193
WR,262,261,Jalen Tolbert,DAL,$0,$0,187
WR,263,217,Andrei Iosivas,CIN,$0,$0,172
WR,264,249,Jalen McMillan,TB,$0,$0,192
RB,266,221,Jarquez Hunter,LA,$0,$0,167
QB,267,179,Daniel Jones,IND,$0,$0,240
QB,268,181,Aaron Rodgers,PIT,$0,$0,239
QB,269,207,Russell Wilson,NYG,$0,$0,201
QB,270,213,Joe Flacco,CLE,$0,$0,176
WR,271,201,Alec Pierce,IND,$0,$0,224
WR,273,183,Jalen Coker,CAR,$0,$0,238
RB,279,246,Trevor Etienne,CAR,$0,$0,177
RB,282,192,Tahj Brooks,CIN,$0,$0,231
RB,283,230,Brashard Smith,KC,$0,$0,165
TE,289,168,Theo Johnson,NYG,$0,$0,207
TE,290,172,Isaiah Likely,BAL,$0,$0,204
TE,291,210,Juwan Johnson,NO,$0,$0,169
TE,292,208,Ja'Tavion Sanders,CAR,$0,$0,195
WR,294,235,Jalen Nailor,MIN,$0,$0,175
WR,295,234,Devaughn Vele,NO,$0,$0,161
QB,296,232,Tyler Shough,NO,$0,$0,164
